 ,Label,Area
1,kb_NA_NA_bsps_bs-01_1.czi,37300940.987
2,kb_NA_NA_bsps_bs-02_1.czi,39629895.374
3,kb_NA_NA_bsps_bs-03_1.czi,45890097.369
4,kb_NA_NA_bsps_bs-04_1.czi,47732755.977
5,kb_NA_NA_bsps_bs-05_1.czi,43038888.713
6,kb_NA_NA_bsps_bs-06_1.czi,43586399.541
7,kb_NA_NA_bsps_bs-07_1.czi,40019873.767
8,kb_NA_NA_bsps_bs-08_1.czi,36979668.996
9,kb_NA_NA_bsps_bs-09_1.czi,37229666.122
10,kb_NA_NA_bsps_bs-10_1.czi,39441327.337
11,kb_NA_NA_bsps_bs-11_1.czi,45744337.058
12,kb_NA_NA_bsps_bs-12_1.czi,37039813.853
13,kb_NA_NA_bsps_bs-13_1.czi,40938527.588
14,kb_NA_NA_bsps_bs-14_1.czi,40639087.538
15,kb_NA_NA_bsps_bs-15_1.czi,44445764.660
16,kb_NA_NA_bsps_bs-16_1.czi,38266041.192
17,kb_NA_NA_bsps_bs-17_1.czi,33756889.270
18,kb_NA_NA_bsps_bs-18_1.czi,36252365.715
19,kb_NA_NA_bsps_bs-19_1.czi,41417546.053
20,kb_NA_NA_bsps_bs-20_1.czi,36989086.696
21,kb_NA_NA_bsps_bs-21_1.czi,38441766.912
22,kb_NA_NA_bsps_bs-22_1.czi,37311428.881
23,kb_NA_NA_bsps_bs-23_1.czi,46874461.051
24,kb_NA_NA_bsps_bs-24_1.czi,40605483.472
25,kb_NA_NA_bsps_bs-25_1.czi,38258763.879
26,kb_NA_NA_bsps_bs-26_1.czi,34576015.126
27,kb_NA_NA_bsps_bs-27_1.czi,35754297.811
28,kb_NA_NA_bsps_bs-28_1.czi,36466832.427
29,kb_NA_NA_bsps_bs-29_1.czi,33929190.371
30,kb_NA_NA_bsps_bs-30_1.czi,53390867.291
31,kb_NA_NA_bsps_bs-31_1.czi,38393394.180
32,kb_NA_NA_bsps_bs-32_1.czi,35814442.668
33,kb_NA_NA_bsps_bs-33_1.czi,36796880.002
