 ,Label,Area
1,kb_NA_1to1_dhbadhbb_bs-02_1.czi,33253256.362
2,kb_NA_1to1_dhbadhbb_bs-03_1.czi,33901579.387
3,kb_NA_1to1_dhbadhbb_bs-04_1.czi,30549092.248
4,kb_NA_1to1_dhbadhbb_bs-05_1.czi,81810061.084
5,kb_NA_1to1_dhbadhbb_bs-06_1.czi,52214296.915
6,kb_NA_1to1_dhbadhbb_bs_1.czi,38041514.664
7,kb_NA_1to1_dhbadhbb_co-02_bs.czi,64346648.859
8,kb_NA_1to1_dhbadhbb_co-02_ps.czi,17266496.680
9,kb_NA_1to1_dhbadhbb_co-03_bs.czi,25383911.910
10,kb_NA_1to1_dhbadhbb_co-03_ps.czi,13739996.131
11,kb_NA_1to1_dhbadhbb_co-04_bs.czi,25625133.452
12,kb_NA_1to1_dhbadhbb_co-04_ps.czi,14363704.713
13,kb_NA_1to1_dhbadhbb_co-05_bs.czi,24349035.110
14,kb_NA_1to1_dhbadhbb_co-05_ps.czi,13392611.427
15,kb_NA_1to1_dhbadhbb_co-06_bs.czi,24669664.985
16,kb_NA_1to1_dhbadhbb_co-06_ps.czi,14177277.062
17,kb_NA_1to1_dhbadhbb_co_bs.czi,34080729.725
18,kb_NA_1to1_dhbadhbb_co_ps.czi,15192462.308
19,kb_NA_1to1_dhbadhbb_ps-02_1.czi,22748240.160
20,kb_NA_1to1_dhbadhbb_ps-03_1.czi,17261787.830
21,kb_NA_1to1_dhbadhbb_ps-04_1.czi,18492724.020
22,kb_NA_1to1_dhbadhbb_ps-05_1.czi,17977104.948
23,kb_NA_1to1_dhbadhbb_ps-06_1.czi,18407536.643
24,kb_NA_1to1_dhbadhbb_ps_1.czi,19968734.446
25,kb_NA_1to1_dhbadhbf_bs-02_1.czi,63515536.840
26,kb_NA_1to1_dhbadhbf_bs-03_1.czi,56519470.018
27,kb_NA_1to1_dhbadhbf_bs-04_1.czi,51062126.943
28,kb_NA_1to1_dhbadhbf_bs-05_1.czi,54764781.289
29,kb_NA_1to1_dhbadhbf_bs-06_1.czi,50747276.111
30,kb_NA_1to1_dhbadhbf_bs_1.czi,52562109.697
31,kb_NA_1to1_dhbadhbf_co-02_bs.czi,53665050.783
32,kb_NA_1to1_dhbadhbf_co-02_ps.czi,11067509.735
33,kb_NA_1to1_dhbadhbf_co-03_bs.czi,55131429.471
34,kb_NA_1to1_dhbadhbf_co-03_ps.czi,10615888.216
35,kb_NA_1to1_dhbadhbf_co-04_bs.czi,56900244.750
36,kb_NA_1to1_dhbadhbf_co-04_ps.czi,10928598.661
37,kb_NA_1to1_dhbadhbf_co-05_bs.czi,57488422.919
38,kb_NA_1to1_dhbadhbf_co-05_ps.czi,12488084.155
39,kb_NA_1to1_dhbadhbf_co-06_bs.czi,54231825.088
40,kb_NA_1to1_dhbadhbf_co-06_ps.czi,9981691.740
41,kb_NA_1to1_dhbadhbf_co-06_ps.czi,1995696.232
42,kb_NA_1to1_dhbadhbf_co_bs.czi,49123150.949
43,kb_NA_1to1_dhbadhbf_co_ps.czi,10509939.091
44,kb_NA_1to1_dhbadhbf_ps-02_1.czi,2600997.492
45,kb_NA_1to1_dhbadhbf_ps-02_1.czi,17723897.243
46,kb_NA_1to1_dhbadhbf_ps-03_1.czi,17502367.256
47,kb_NA_1to1_dhbadhbf_ps-04_1.czi,16489108.358
48,kb_NA_1to1_dhbadhbf_ps-05_1.czi,18656249.537
49,kb_NA_1to1_dhbadhbf_ps-06_1.czi,17597828.487
50,kb_NA_1to1_dhbadhbf_ps_1.czi,2581734.015
51,kb_NA_1to1_dhbadhbf_ps_1.czi,17477324.736
52,kb_NA_1to1_dhbedhbf_bs-02_1.czi,77884592.519
53,kb_NA_1to1_dhbedhbf_bs-03_1.czi,62270688.139
54,kb_NA_1to1_dhbedhbf_bs-04_1.czi,61030762.327
55,kb_NA_1to1_dhbedhbf_bs-05_1.czi,138141391.142
56,kb_NA_1to1_dhbedhbf_bs-06_1.czi,94362784.907
57,kb_NA_1to1_dhbedhbf_bs_1.czi,70573674.865
58,kb_NA_1to1_dhbedhbf_co-02_bs.czi,115520289.931
59,kb_NA_1to1_dhbedhbf_co-02_ps.czi,17412685.068
60,kb_NA_1to1_dhbedhbf_co-03_bs.czi,46868896.046
61,kb_NA_1to1_dhbedhbf_co-03_ps.czi,14197610.733
62,kb_NA_1to1_dhbedhbf_co-04_bs.czi,51962159.403
63,kb_NA_1to1_dhbedhbf_co-04_ps.czi,14899015.339
64,kb_NA_1to1_dhbedhbf_co-05_bs.czi,65334437.159
65,kb_NA_1to1_dhbedhbf_co-05_ps.czi,14539216.394
66,kb_NA_1to1_dhbedhbf_co-06_bs.czi,53859397.863
67,kb_NA_1to1_dhbedhbf_co-06_ps.czi,15332229.536
68,kb_NA_1to1_dhbedhbf_co_bs.czi,76851856.105
69,kb_NA_1to1_dhbedhbf_co_ps.czi,17767775.163
70,kb_NA_1to1_dhbedhbf_ps-02_1.czi,23460560.737
71,kb_NA_1to1_dhbedhbf_ps-03_1.czi,16704859.302
72,kb_NA_1to1_dhbedhbf_ps-04_1.czi,16678960.627
73,kb_NA_1to1_dhbedhbf_ps-05_1.czi,18974310.948
74,kb_NA_1to1_dhbedhbf_ps-06_1.czi,17280837.269
75,kb_NA_1to1_dhbedhbf_ps_1.czi,21382459.630
