 ,Label,Area
1,kb_NA_NA_dhba_bs-02_1.czi,67427520.970
2,kb_NA_NA_dhba_bs-03_1.czi,67214980.606
3,kb_NA_NA_dhba_bs-04_1.czi,60481325.151
4,kb_NA_NA_dhba_bs-05_1.czi,57506402.164
5,kb_NA_NA_dhba_bs-06_1.czi,63455391.983
6,kb_NA_NA_dhba_bs-07_1.czi,63424784.459
7,kb_NA_NA_dhba_bs-08_1.czi,51666143.971
8,kb_NA_NA_dhba_bs_1.czi,81730438.711
9,kb_NA_NA_dhba_co-02_bs.czi,25904667.909
10,kb_NA_NA_dhba_co-02_ps.czi,15640445.171
11,kb_NA_NA_dhba_co-03_bs.czi,30832265.362
12,kb_NA_NA_dhba_co-03_ps.czi,2559688.035
13,kb_NA_NA_dhba_co-03_ps.czi,16403492.904
14,kb_NA_NA_dhba_co-04_bs.czi,24475531.943
15,kb_NA_NA_dhba_co-04_ps.czi,14284510.418
16,kb_NA_NA_dhba_co-05_bs.czi,28279426.564
17,kb_NA_NA_dhba_co-05_ps.czi,16147716.735
18,kb_NA_NA_dhba_co-06_bs.czi,31014412.241
19,kb_NA_NA_dhba_co-06_ps.czi,15899859.996
20,kb_NA_NA_dhba_co-07_bs.czi,33988479.073
21,kb_NA_NA_dhba_co-07_ps.czi,16709782.191
22,kb_NA_NA_dhba_co-08_bs.czi,37243578.633
23,kb_NA_NA_dhba_co-08_ps.czi,17130582.147
24,kb_NA_NA_dhba_co_bs.czi,25239007.754
25,kb_NA_NA_dhba_co_ps.czi,14964725.200
26,kb_NA_NA_dhba_ps-02_1.czi,17791961.529
27,kb_NA_NA_dhba_ps-03_1.czi,18523331.545
28,kb_NA_NA_dhba_ps-04_1.czi,17311444.794
29,kb_NA_NA_dhba_ps-05_1.czi,17377796.770
30,kb_NA_NA_dhba_ps-06_1.czi,16711494.500
31,kb_NA_NA_dhba_ps-06_1.czi,3280784.196
32,kb_NA_NA_dhba_ps-07_1.czi,19393612.634
33,kb_NA_NA_dhba_ps-07_1.czi,3176119.304
34,kb_NA_NA_dhba_ps-08_1.czi,18798799.268
35,kb_NA_NA_dhba_ps_1.czi,16452293.713
36,kb_NA_NA_dhbb_bs-02_1.czi,25520896.636
37,kb_NA_NA_dhbb_bs-03_1.czi,23666679.942
38,kb_NA_NA_dhbb_bs-04_1.czi,27033079.592
39,kb_NA_NA_dhbb_bs-05_1.czi,19281670.428
40,kb_NA_NA_dhbb_bs_1.czi,23739025.001
41,kb_NA_NA_dhbb_co-02_bs.czi,14478215.383
42,kb_NA_NA_dhbb_co-02_ps.czi,21109988.448
43,kb_NA_NA_dhbb_co-03_bs.czi,14346581.622
44,kb_NA_NA_dhbb_co-03_ps.czi,15521225.651
45,kb_NA_NA_dhbb_co-04_bs.czi,13973512.282
46,kb_NA_NA_dhbb_co-04_ps.czi,16628661.548
47,kb_NA_NA_dhbb_co-05_bs.czi,13231440.334
48,kb_NA_NA_dhbb_co-05_ps.czi,16137014.804
49,kb_NA_NA_dhbb_co_bs.czi,12014630.695
50,kb_NA_NA_dhbb_co_ps.czi,14849144.337
51,kb_NA_NA_dhbb_ps-02_1.czi,22160918.145
52,kb_NA_NA_dhbb_ps-03_1.czi,16116253.056
53,kb_NA_NA_dhbb_ps-04_1.czi,17865590.819
54,kb_NA_NA_dhbb_ps-05_1.czi,17778263.056
55,kb_NA_NA_dhbb_ps_1.czi,15038140.452
56,kb_NA_NA_dhbc_bs-02_1.czi,28976550.398
57,kb_NA_NA_dhbc_bs-03_1.czi,26362068.472
58,kb_NA_NA_dhbc_bs-04_1.czi,31082262.488
59,kb_NA_NA_dhbc_bs-05_1.czi,28683959.584
60,kb_NA_NA_dhbc_bs_1.czi,27600924.091
61,kb_NA_NA_dhbc_co-02_bs.czi,22193023.941
62,kb_NA_NA_dhbc_co-02_ps.czi,15397725.359
63,kb_NA_NA_dhbc_co-03_bs.czi,22120036.766
64,kb_NA_NA_dhbc_co-03_ps.czi,15192248.269
65,kb_NA_NA_dhbc_co-04_bs.czi,30487235.083
66,kb_NA_NA_dhbc_co-04_ps.czi,18443495.134
67,kb_NA_NA_dhbc_co-05_bs.czi,24183797.284
68,kb_NA_NA_dhbc_co-05_ps.czi,14897303.030
69,kb_NA_NA_dhbc_co_bs.czi,22649568.349
70,kb_NA_NA_dhbc_co_ps.czi,14942679.221
71,kb_NA_NA_dhbc_ps-02_1.czi,3209295.292
72,kb_NA_NA_dhbc_ps-02_1.czi,16892571.185
73,kb_NA_NA_dhbc_ps-03_1.czi,17568291.155
74,kb_NA_NA_dhbc_ps-04_1.czi,17652408.339
75,kb_NA_NA_dhbc_ps-05_1.czi,17149203.508
76,kb_NA_NA_dhbc_ps_1.czi,16731186.054
77,kb_NA_NA_dhbe_bs-02_1.czi,74364299.090
78,kb_NA_NA_dhbe_bs-03_1.czi,50749630.536
79,kb_NA_NA_dhbe_bs-04_1.czi,61065436.586
80,kb_NA_NA_dhbe_bs-05_1.czi,53668689.440
81,kb_NA_NA_dhbe_bs-06_1.czi,61255074.816
82,kb_NA_NA_dhbe_bs_1.czi,63090456.111
83,kb_NA_NA_dhbe_co-02_bs.czi,61037397.524
84,kb_NA_NA_dhbe_co-02_ps.czi,16216851.215
85,kb_NA_NA_dhbe_co-03_bs.czi,46095146.381
86,kb_NA_NA_dhbe_co-03_ps.czi,1740134.102
87,kb_NA_NA_dhbe_co-03_ps.czi,12034750.327
