 ,Label,Area
1,fecit_100_NA_bsps_bs-02_1.czi,45447251.433
2,fecit_100_NA_bsps_bs-03_1.czi,42487953.266
3,fecit_100_NA_bsps_bs-04_1.czi,43687853.854
4,fecit_100_NA_bsps_bs_1.czi,47116110.670
5,fecit_100_NA_bsps_co-02_bs.czi,37788092.921
6,fecit_100_NA_bsps_co-02_ps.czi,15946092.341
7,fecit_100_NA_bsps_co-03_bs.czi,51323254.078
8,fecit_100_NA_bsps_co-03_ps.czi,10732539.272
9,fecit_100_NA_bsps_co-04_bs.czi,42739020.585
10,fecit_100_NA_bsps_co-04_ps.czi,9968421.345
11,fecit_100_NA_bsps_co_bs.czi,36668670.860
12,fecit_100_NA_bsps_co_ps.czi,11382788.644
13,fecit_100_NA_bsps_ps-02_1.czi,17290040.930
14,fecit_100_NA_bsps_ps-03_1.czi,14867765.699
15,fecit_100_NA_bsps_ps-04_1.czi,15124612.060
16,fecit_100_NA_bsps_ps_1.czi,17081781.338
17,fecit_100_NA_dhbps_bs-02_1.czi,25235797.175
18,fecit_100_NA_dhbps_bs-03_1.czi,51454245.723
19,fecit_100_NA_dhbps_bs-04_1.czi,56465318.244
20,fecit_100_NA_dhbps_bs_1.czi,44858645.187
21,fecit_100_NA_dhbps_co-02_bs.czi,44407879.822
22,fecit_100_NA_dhbps_co-02_ps.czi,14068973.513
23,fecit_100_NA_dhbps_co-03_bs.czi,23337060.444
24,fecit_100_NA_dhbps_co-03_ps.czi,9665128.599
25,fecit_100_NA_dhbps_co-04_bs.czi,38408804.962
26,fecit_100_NA_dhbps_co-04_ps.czi,13268254.980
27,fecit_100_NA_dhbps_co_bs.czi,49021696.636
28,fecit_100_NA_dhbps_co_ps.czi,14184126.299
29,fecit_100_NA_dhbps_ps-02_1.czi,18397476.827
30,fecit_100_NA_dhbps_ps-03_1.czi,11259930.468
31,fecit_100_NA_dhbps_ps-04_1.czi,20520097.970
32,fecit_100_NA_dhbps_ps_1.czi,24760203.328
33,fecit_20_NA_bsps_bs-02_1.czi,52074957.764
34,fecit_20_NA_bsps_bs-03_1.czi,56050297.330
35,fecit_20_NA_bsps_bs-04_1.czi,16318519.566
36,fecit_20_NA_bsps_bs_1.czi,48828633.788
37,fecit_20_NA_bsps_co-02_bs.czi,54323647.662
38,fecit_20_NA_bsps_co-02_ps.czi,8969503.036
39,fecit_20_NA_bsps_co-03_bs.czi,43367223.979
40,fecit_20_NA_bsps_co-03_ps.czi,8769590.951
41,fecit_20_NA_bsps_co_bs.czi,51785791.568
42,fecit_20_NA_bsps_co_ps.czi,9122326.621
43,fecit_20_NA_bsps_ps-02_1.czi,15565103.571
44,fecit_20_NA_bsps_ps-03_1.czi,15672336.927
45,fecit_20_NA_bsps_ps_1.czi,16367748.452
46,fecit_20_NA_dhbps_bs-02_1.czi,24490086.571
47,fecit_20_NA_dhbps_bs-03_1.czi,24916023.454
48,fecit_20_NA_dhbps_bs-04_1.czi,26636251.963
49,fecit_20_NA_dhbps_bs_1.czi,22338142.135
50,fecit_20_NA_dhbps_co-02_bs.czi,22488397.257
51,fecit_20_NA_dhbps_co-02_ps.czi,15614974.573
52,fecit_20_NA_dhbps_co-03_bs.czi,22090927.512
53,fecit_20_NA_dhbps_co-03_ps.czi,13125491.210
54,fecit_20_NA_dhbps_co-04_bs.czi,24522620.443
55,fecit_20_NA_dhbps_co-04_ps.czi,1623911.123
56,fecit_20_NA_dhbps_co-04_ps.czi,2008752.589
57,fecit_20_NA_dhbps_co-04_ps.czi,1086246.072
58,fecit_20_NA_dhbps_co-04_ps.czi,13879121.244
59,fecit_20_NA_dhbps_co_bs.czi,22276499.008
60,fecit_20_NA_dhbps_co_ps.czi,17736097.445
61,fecit_20_NA_dhbps_ps-02_1.czi,27539495.003
62,fecit_20_NA_dhbps_ps-02_1.czi,2730276.827
63,fecit_20_NA_dhbps_ps-02_1.czi,2851208.656
64,fecit_20_NA_dhbps_ps-03_1.czi,18272478.264
65,fecit_20_NA_dhbps_ps-04_1.czi,17351470.018
66,fecit_20_NA_dhbps_ps_1.czi,33610914.921
67,fecit_20_NA_dhbps_ps_1.czi,3433179.704
68,fecit_20_NA_dhbps_ps_1.czi,5462265.964
69,fecit_20_NA_dhbps_ps_1.czi,3131385.229
70,fecit_20_NA_dhbps_ps_1.czi,5818212.213
71,fecit_500_NA_bsps_bs-02_1.czi,63386685.582
72,fecit_500_NA_bsps_bs-03_1.czi,63391608.470
73,fecit_500_NA_bsps_bs-04_1.czi,61942352.873
74,fecit_500_NA_bsps_bs_1.czi,59898497.948
75,fecit_500_NA_bsps_co-02_bs.czi,49545449.176
76,fecit_500_NA_bsps_co-02_ps.czi,15557398.180
77,fecit_500_NA_bsps_co-03_bs.czi,49376358.655
78,fecit_500_NA_bsps_co-03_ps.czi,14757321.763
79,fecit_500_NA_bsps_co-04_bs.czi,47548254.674
80,fecit_500_NA_bsps_co-04_ps.czi,14003049.613
81,fecit_500_NA_bsps_co_bs.czi,49376786.732
82,fecit_500_NA_bsps_co_ps.czi,16170618.869
83,fecit_500_NA_bsps_ps-02_1.czi,19092674.313
84,fecit_500_NA_bsps_ps-02_1.czi,3107840.979
85,fecit_500_NA_bsps_ps-03_1.czi,21386740.403
86,fecit_500_NA_bsps_ps-04_1.czi,19737358.682
87,fecit_500_NA_bsps_ps_1.czi,21923977.376
