 ,Label,Area
1,kbase_NA_NA_bsps_bs-02_1.czi,24088550.092
2,kbase_NA_NA_bsps_bs-03_1.czi,24584049.531
3,kbase_NA_NA_bsps_bs-04_1.czi,23014504.221
4,kbase_NA_NA_bsps_bs_1.czi,25368073.051
5,kbase_NA_NA_bsps_co-02_bs.czi,19387405.514
6,kbase_NA_NA_bsps_co-02_ps.czi,13730150.354
7,kbase_NA_NA_bsps_co-03_bs.czi,18416740.304
8,kbase_NA_NA_bsps_co-03_ps.czi,14339946.425
9,kbase_NA_NA_bsps_co-04_bs.czi,17878433.138
10,kbase_NA_NA_bsps_co-04_ps.czi,17038759.573
11,kbase_NA_NA_bsps_co_bs.czi,19179359.961
12,kbase_NA_NA_bsps_co_ps.czi,13689911.090
13,kbase_NA_NA_bsps_ps-02_1.czi,16768428.777
14,kbase_NA_NA_bsps_ps-03_1.czi,14693538.250
15,kbase_NA_NA_bsps_ps-04_1.czi,17761354.004
16,kbase_NA_NA_bsps_ps_1.czi,14831807.208
17,kbase_NA_NA_dhbps_bs-02_1.czi,22760440.362
18,kbase_NA_NA_dhbps_bs-03_1.czi,18342254.859
19,kbase_NA_NA_dhbps_bs-04_1.czi,22179753.545
20,kbase_NA_NA_dhbps_bs_1.czi,24287820.061
21,kbase_NA_NA_dhbps_co-02_bs.czi,16064669.745
22,kbase_NA_NA_dhbps_co-02_ps.czi,21354420.569
23,kbase_NA_NA_dhbps_co-03_bs.czi,16273785.491
24,kbase_NA_NA_dhbps_co-03_ps.czi,23253371.338
25,kbase_NA_NA_dhbps_co-04_bs.czi,15100425.695
26,kbase_NA_NA_dhbps_co-04_ps.czi,16675107.932
27,kbase_NA_NA_dhbps_co_bs.czi,16700792.568
28,kbase_NA_NA_dhbps_co_ps.czi,17577066.740
29,kbase_NA_NA_dhbps_ps-02_1.czi,19724088.287
30,kbase_NA_NA_dhbps_ps-03_1.czi,20653015.962
31,kbase_NA_NA_dhbps_ps-04_1.czi,24478314.446
32,kbase_NA_NA_dhbps_ps_1.czi,23369166.239
33,kbaseG_NA_NA_bsps_bs-02_1.czi,35136796.350
34,kbaseG_NA_NA_bsps_bs-03_1.czi,38489497.527
35,kbaseG_NA_NA_bsps_bs-04_1.czi,29339559.922
36,kbaseG_NA_NA_bsps_bs_1.czi,34080515.686
37,kbaseG_NA_NA_bsps_co-02_bs.czi,35402846.373
38,kbaseG_NA_NA_bsps_co-02_ps.czi,13208324.162
39,kbaseG_NA_NA_bsps_co-03_bs.czi,30047813.765
40,kbaseG_NA_NA_bsps_co-03_ps.czi,16178752.337
41,kbaseG_NA_NA_bsps_co-04_bs.czi,33670631.700
42,kbaseG_NA_NA_bsps_co-04_ps.czi,13494707.855
43,kbaseG_NA_NA_bsps_co_bs.czi,25025611.235
44,kbaseG_NA_NA_bsps_co_ps.czi,16773993.781
45,kbaseG_NA_NA_bsps_co_ps.czi,2230496.615
46,kbaseG_NA_NA_bsps_ps-02_1.czi,17022492.636
47,kbaseG_NA_NA_bsps_ps-03_1.czi,17100830.777
48,kbaseG_NA_NA_bsps_ps-03_1.czi,2012391.246
49,kbaseG_NA_NA_bsps_ps-04_1.czi,15985475.450
50,kbaseG_NA_NA_bsps_ps_1.czi,15904140.769
51,kbaseG_NA_NA_dhbps_bs-02_1.czi,22373244.471
52,kbaseG_NA_NA_dhbps_bs-03_1.czi,24667310.560
53,kbaseG_NA_NA_dhbps_bs-04_1.czi,18001077.275
54,kbaseG_NA_NA_dhbps_bs-04_1.czi,6916658.488
55,kbaseG_NA_NA_dhbps_bs_1.czi,21013671.062
56,kbaseG_NA_NA_dhbps_co-02_bs.czi,21779929.375
57,kbaseG_NA_NA_dhbps_co-02_ps.czi,19882904.954
58,kbaseG_NA_NA_dhbps_co-03_bs.czi,19018616.946
59,kbaseG_NA_NA_dhbps_co-03_ps.czi,21101426.902
60,kbaseG_NA_NA_dhbps_co-04_bs.czi,19255557.715
61,kbaseG_NA_NA_dhbps_co-04_ps.czi,20962087.751
62,kbaseG_NA_NA_dhbps_co_bs.czi,18999353.469
