 ,Label,Area
1,msgg_NA_NA_bsps_bs-02_1.czi,32200614.356
2,msgg_NA_NA_bsps_bs-03_1.czi,34981190.262
3,msgg_NA_NA_bsps_bs-04_1.czi,33887238.799
4,msgg_NA_NA_bsps_bs_1.czi,30117162.283
5,msgg_NA_NA_bsps_co-02_bs.czi,19151106.861
6,msgg_NA_NA_bsps_co-02_ps.czi,10173684.396
7,msgg_NA_NA_bsps_co-02_ps.czi,1239069.658
8,msgg_NA_NA_bsps_co-03_bs.czi,15039852.761
9,msgg_NA_NA_bsps_co-03_ps.czi,10339136.261
10,msgg_NA_NA_bsps_co-04_bs.czi,12629135.616
11,msgg_NA_NA_bsps_co-04_ps.czi,9673476.106
12,msgg_NA_NA_bsps_co_bs.czi,18333693.314
13,msgg_NA_NA_bsps_co_ps.czi,10008018.492
14,msgg_NA_NA_bsps_ps-02_1.czi,10363322.626
15,msgg_NA_NA_bsps_ps-03_1.czi,10022359.081
16,msgg_NA_NA_bsps_ps-04_1.czi,9664914.560
17,msgg_NA_NA_bsps_ps-04_1.czi,1144250.542
18,msgg_NA_NA_bsps_ps_1.czi,11578848.034
19,msgg_NA_NA_dhbps_bs-02_1.czi,10591059.734
20,msgg_NA_NA_dhbps_bs-03_1.czi,9523435.023
21,msgg_NA_NA_dhbps_bs-04_1.czi,8481708.987
22,msgg_NA_NA_dhbps_bs_1.czi,10927100.391
23,msgg_NA_NA_dhbps_co-02_bs.czi,8076533.851
24,msgg_NA_NA_dhbps_co-02_ps.czi,7266397.617
25,msgg_NA_NA_dhbps_co-03_bs.czi,1926775.792
26,msgg_NA_NA_dhbps_co-03_ps.czi,11028768.742
27,msgg_NA_NA_dhbps_co-04_bs.czi,3960142.824
28,msgg_NA_NA_dhbps_co-04_ps.czi,10517002.366
29,msgg_NA_NA_dhbps_co_bs.czi,3761086.893
30,msgg_NA_NA_dhbps_co_ps.czi,9622320.872
31,msgg_NA_NA_dhbps_ps-02_1.czi,9167916.850
32,msgg_NA_NA_dhbps_ps-03_1.czi,9287136.370
33,msgg_NA_NA_dhbps_ps-04_1.czi,9935459.395
34,msgg_NA_NA_dhbps_ps_1.czi,9726343.649
35,msggfe_NA_NA_bsps_bs-02_1.czi,30817710.735
36,msggfe_NA_NA_bsps_bs-03_1.czi,32489994.590
37,msggfe_NA_NA_bsps_bs-04_1.czi,35334139.971
38,msggfe_NA_NA_bsps_bs_1.czi,29629796.311
39,msggfe_NA_NA_bsps_co-02_bs.czi,36415463.155
40,msggfe_NA_NA_bsps_co-02_ps.czi,9591285.270
41,msggfe_NA_NA_bsps_co-03_bs.czi,30586334.971
42,msggfe_NA_NA_bsps_co-03_ps.czi,10210713.080
