 ,Label,Area
1,kb_NA_NA_besaps_co-02_1.czi,15760948.922
2,kb_NA_NA_besaps_co-03_1.czi,12757130.719
3,kb_NA_NA_besaps_co-04_1.czi,12997068.029
4,kb_NA_NA_besaps_co_1.czi,11386213.263
5,kb_NA_NA_besaps_ps-02_1.czi,16805457.461
6,kb_NA_NA_besaps_ps-03_1.czi,20876044.220
7,kb_NA_NA_besaps_ps-04_1.czi,15660992.880
8,kb_NA_NA_besaps_ps_1.czi,19001921.932
9,kb_NA_NA_furps_co-02_1.czi,11629789.229
10,kb_NA_NA_furps_co-03_1.czi,10078437.203
11,kb_NA_NA_furps_co-04_1.czi,10729756.769
12,kb_NA_NA_furps_co_1.czi,8829307.730
13,kb_NA_NA_furps_ps-02_1.czi,18034895.380
14,kb_NA_NA_furps_ps-03_1.czi,18011351.130
15,kb_NA_NA_furps_ps-04_1.czi,17498514.560
16,kb_NA_NA_furps_ps_1.czi,20844794.579
17,kb_NA_NA_furps_ps_1.czi,2491195.672
18,kb_NA_NA_spo0aps_co-02_1.czi,13450615.897
19,kb_NA_NA_spo0aps_co-03_1.czi,13784302.128
20,kb_NA_NA_spo0aps_co-04_1.czi,13382123.533
21,kb_NA_NA_spo0aps_co_1.czi,11679232.154
22,kb_NA_NA_spo0aps_ps-02_1.czi,17403695.445
23,kb_NA_NA_spo0aps_ps-03_1.czi,16596127.676
24,kb_NA_NA_spo0aps_ps-04_1.czi,14130616.640
25,kb_NA_NA_spo0aps_ps_1.czi,17382719.659
