interaction;species;count;type;dil_factor
bsps;bs;1324;mono;7
bsps;bs;1396;mono;7
bsps;bs;1904;mono;7
bsps;bs;1256;mono;7
bsps;bs;1908;mono;7
bsps;bs;1744;mono;7
bsps;bs;1632;mono;7
bsps;bs;1384;mono;7
bsps;bs;1672;mono;7
dhbps;bs;1035;mono;7
dhbps;bs;318;mono;7
dhbps;bs;457;mono;7
dhbps;bs;565;mono;7
dhbps;bs;545;mono;7
dhbps;bs;741;mono;7
dhbps;bs;1112;mono;7
dhbps;bs;748;mono;7
dhbps;bs;996;mono;7
bsps;ps;1768;mono;7
bsps;ps;768;mono;7
bsps;ps;2416;mono;7
bsps;ps;1596;mono;7
bsps;ps;644;mono;7
dhbps;ps;1660;mono;7
dhbps;ps;1864;mono;7
dhbps;ps;2400;mono;7
dhbps;ps;1532;mono;7
dhbps;ps;1204;mono;7
dhbps;ps;1768;mono;7
dhbps;ps;768;mono;7
dhbps;ps;2416;mono;7
dhbps;ps;1596;mono;7
dhbps;ps;644;mono;7
bsps;ps;1660;mono;7
bsps;ps;1864;mono;7
bsps;ps;2400;mono;7
bsps;ps;1532;mono;7
bsps;ps;1204;mono;7
bsps;bs;1376;co;7
bsps;bs;1000;co;7
bsps;bs;620;co;7
bsps;bs;940;co;7
bsps;bs;568;co;7
bsps;bs;888;co;7
bsps;bs;616;co;7
bsps;bs;1764;co;7
bsps;bs;736;co;7
dhbps;bs;10;co;6
dhbps;bs;13;co;6
dhbps;bs;7;co;6
dhbps;bs;9;co;6
dhbps;bs;18;co;6
dhbps;bs;8;co;6
dhbps;bs;11;co;6
dhbps;bs;1;co;6
bsps;ps;439;co;6
bsps;ps;443;co;6
bsps;ps;586;co;6
bsps;ps;194;co;6
bsps;ps;320;co;6
bsps;ps;268;co;6
bsps;ps;787;co;6
bsps;ps;366;co;6
bsps;ps;569;co;6
bsps;ps;658;co;6
dhbps;ps;1420;co;7
dhbps;ps;1388;co;7
dhbps;ps;1656;co;7
dhbps;ps;832;co;7
dhbps;ps;2048;co;7
dhbps;ps;680;co;7
dhbps;ps;1540;co;7
dhbps;ps;1820;co;7
dhbps;ps;1000;co;7
dhbps;ps;1444;co;7
