well;sample;medium;type
A1;bs;kb;mono
A2;dhb;kb;mono
A3;ps;kb;mono
A4;bsps;kb;co
A5;dhbps;kb;co
A6;bs;kb;mono
A7;bs;lb;mono
A8;dhb;lb;mono
A9;ps;lb;mono
A10;bsps;lb;co
A11;dhbps;lb;co
A12;blk;lb;blk
B1;bs;kb;mono
B2;dhb;kb;mono
B3;ps;kb;mono
B4;bsps;kb;co
B5;dhbps;kb;co
B6;bs;kb;mono
B7;bs;lb;mono
B8;dhb;lb;mono
B9;ps;lb;mono
B10;bsps;lb;co
B11;dhbps;lb;co
B12;blk;lb;blk
C1;bs;kb;mono
C2;dhb;kb;mono
C3;ps;kb;mono
C4;bsps;kb;co
C5;dhbps;kb;co
C6;bs;kb;mono
C7;bs;lb;mono
C8;dhb;lb;mono
C9;ps;lb;mono
C10;bsps;lb;co
C11;dhbps;lb;co
C12;blk;lb;blk
D1;bs;kb;mono
D2;cont;cont;cont
D3;ps;kb;mono
D4;bsps;kb;co
D5;dhbps;kb;co
D6;bs;kb;mono
D7;bs;lb;mono
D8;dhb;lb;mono
D9;ps;lb;mono
D10;bsps;lb;co
D11;dhbps;lb;co
D12;blk;lb;blk
E1;bs;kb;mono
E2;dhb;kb;mono
E3;ps;kb;mono
E4;bsps;kb;co
E5;dhbps;kb;co
E6;bs;kb;mono
E7;bs;lb;mono
E8;dhb;lb;mono
E9;ps;lb;mono
E10;bsps;lb;co
E11;dhbps;lb;co
E12;blk;lb;blk
F1;bs;kb;mono
F2;dhb;kb;mono
F3;ps;kb;mono
F4;bsps;kb;co
F5;dhbps;kb;co
F6;bs;kb;mono
F7;bs;lb;mono
F8;dhb;lb;mono
F9;ps;lb;mono
F10;bsps;lb;co
F11;dhbps;lb;co
F12;blk;lb;blk
G1;bs;kb;mono
G2;dhb;kb;mono
G3;ps;kb;mono
G4;bsps;kb;co
G5;dhbps;kb;co
G6;bs;kb;mono
G7;bs;lb;mono
G8;dhb;lb;mono
G9;ps;lb;mono
G10;bsps;lb;co
G11;dhbps;lb;co
G12;blk;lb;blk
H1;bs;kb;mono
H2;dhb;kb;mono
H3;ps;kb;mono
H4;bsps;kb;co
H5;dhbps;kb;co
H6;bs;kb;mono
H7;bs;lb;mono
H8;dhb;lb;mono
H9;ps;lb;mono
H10;bsps;lb;co
H11;dhbps;lb;co
H12;blk;lb;blk
