gene.x;pathway
dhbA;Iron Acquisition
dhbB;Iron Acquisition
dhbC;Iron Acquisition
dhbE;Iron Acquisition
dhbF;Iron Acquisition
ybdZ;Iron Acquisition
yvmA;Iron Acquisition
yvmB;Iron Acquisition
yvmC;Iron Acquisition
cypX;Iron Acquisition
feuA;Iron Acquisition
feuB;Iron Acquisition
feuC;Iron Acquisition
yusV;Iron Acquisition
besA;Iron Acquisition
glpD;Metabolism
glpF;Metabolism
glpK;Metabolism
tpiA;Metabolism
argB;Metabolism
argC;Metabolism
argD;Metabolism
argJ;Metabolism
spsA;Metabolism
spsB;Metabolism
spsC;Metabolism
spsD;Metabolism
spsE;Metabolism
spsF;Metabolism
spsG;Metabolism
spsI;Metabolism
spsJ;Metabolism
spsK;Metabolism
spsL;Metabolism
glnM;ABC Transporter
glnP;ABC Transporter
glnH;ABC Transporter
glnQ;ABC Transporter
glnT;ABC Transporter
gltP;ABC Transporter
gltT;ABC Transporter
glnA;ABC Transporter
gltA;ABC Transporter
gltB;ABC Transporter
gudB;ABC Transporter
rocG;ABC Transporter
glsA;ABC Transporter
opuCA;ABC Transporter
opuCB;ABC Transporter
opuCC;ABC Transporter
opuCD;ABC Transporter
opuBA;ABC Transporter
opuBB;ABC Transporter
opuBC;ABC Transporter
opuBD;ABC Transporter
dppA;ABC Transporter
dppB;ABC Transporter
dppC;ABC Transporter
dppD;ABC Transporter
dppE;ABC Transporter
ykfD;ABC Transporter
mntA;ABC Transporter
mntB;ABC Transporter
mntC;ABC Transporter
mntD;ABC Transporter
mntH;ABC Transporter
mntR;ABC Transporter
citM;ABC Transporter
epsA;Biofilm
epsB;Biofilm
epsC;Biofilm
epsD;Biofilm
epsE;Biofilm
epsF;Biofilm
epsG;Biofilm
epsH;Biofilm
epsI;Biofilm
epsJ;Biofilm
epsK;Biofilm
epsL;Biofilm
epsM;Biofilm
epsN;Biofilm
epsO;Biofilm
tapA;Biofilm
sipW;Biofilm
tasA;Biofilm
abrB;Biofilm
spo0A;Biofilm
spo0F;Biofilm
sinI;Biofilm
sinR;Biofilm
slrR;Biofilm
