Name,gene.y,category,seed_ortholog,ps_covsmono_wt_l2fc,ps_covsmono_wt_padj,ps_covsmono_mt_l2fc,ps_covsmono_mt_padj,ps_co_mtvswt_l2fc,ps_co_mtvswt_padj
Pm92_001056,algA,biofilm,PFLU_0979,-4.224259378329646,1.5245368835589498e-44,-1.043788214476072,2.2363259553828454e-4,3.1804711638535736,2.3988994861571e-25
Pm92_001065,alg44,biofilm,PFLU_0988,-4.34133882038802,4.297872017388818e-15,NA,NA,4.420225318471014,1.8203125026140734e-15
Pm92_001292,wspA,biofilm,PFLU_1219,-2.0112516901134816,2.2019509702689217e-18,NA,NA,1.504236222621277,1.7422719601948896e-10
Pm92_001293,wspB,biofilm,PFLU_1220,-1.8902371745748832,0.001120868667950349,NA,NA,2.1411579913021246,2.5442731144507334e-4
Pm92_001295,wspD,biofilm,PFLU_1222,-1.5032312225502273,0.030796862109213292,NA,NA,NA,NA
Pm92_001296,wspE,biofilm,PFLU_1223,-2.8374136678432613,2.532405722536273e-15,NA,NA,2.6011873639459657,8.863792570529991e-13
Pm92_001298,wspR,biofilm,PFLU_1225,-1.4846327535986215,3.3313164703368244e-6,NA,NA,1.0089976250284292,0.002706948100362031
Pm92_001983,-,biofilm,PFLU_1837,-1.2577639121312891,1.2700522137271586e-4,NA,NA,NA,NA
Pm92_002085,pslK,biofilm,PFLU_2072,-2.3652317520954087,1.1584841786326257e-21,NA,NA,2.1517356624020825,7.212068040512581e-18
Pm92_002086,pslJ,biofilm,PFLU_2073,-1.6297975377847813,4.036732772183253e-6,NA,NA,1.715885024111581,1.437033873159263e-6
Pm92_002087,pslI,biofilm,PFLU_2074,-2.788226087851162,8.88906323572927e-21,NA,NA,2.3107073271597534,2.943196645975696e-14
Pm92_002088,pslH,biofilm,PFLU_2075,-2.3094314536769054,2.0215069560999318e-13,NA,NA,2.158945330537202,1.1695531989560741e-11
Pm92_002089,pslG,biofilm,PFLU_2076,-3.3117030755982846,2.6529632556804925e-14,NA,NA,3.049621453216191,4.615040036124473e-12
Pm92_002090,-,biofilm,PFLU_2077,-2.2782574213041498,7.229782556426668e-12,NA,NA,2.160047956354065,1.4697135110729186e-10
Pm92_002091,pslE,biofilm,PFLU_2078,-2.872258961072999,3.1759849161910424e-33,NA,NA,2.2877741895038692,4.843999167192556e-21
Pm92_002092,-,biofilm,PFLU_2079,-1.2991886122682264,1.907382286074406e-7,NA,NA,NA,NA
Pm92_002093,rfbN,biofilm,PFLU_2080,-1.8921336726117954,2.5343924542102966e-10,NA,NA,1.6149670117288413,1.3778882172830852e-7
Pm92_002094,manC,biofilm,PFLU_2081,-1.5086217438170946,5.3838979923347684e-11,NA,NA,1.090597090836302,4.7360632949226945e-6
Pm92_002095,pslA,biofilm,PFLU_2082,-1.3235943944353987,9.427050358193022e-7,NA,NA,NA,NA
Pm92_002676,-,biofilm,PFLU_2764,-1.533186243753241,4.037837393913968e-9,NA,NA,1.3874653597654578,1.6490573602545655e-7
Pm92_003576,barA,biofilm,PFLU_3777,-1.0791972182510519,8.02883442673698e-4,NA,NA,NA,NA
Pm92_003858,-,biofilm,PFLU_4057,1.3185068392798776,0.0032498006548728623,NA,NA,NA,NA
Pm92_004478,hptB,biofilm,PFLU_4431,-2.537397530956257,0.041852168930595034,NA,NA,NA,NA
Pm92_004479,rsbU,biofilm,PFLU_4432,-1.64739892023683,5.250598737736884e-11,NA,NA,1.4168232980818438,2.9988099220418817e-8
Pm92_004480,rsbV,biofilm,PFLU_4433,-2.2923742989709184,3.11890918577799e-15,NA,NA,1.8231302153657984,8.236152744134478e-10
Pm92_005286,yfiN,biofilm,PFLU_5210,1.256867029875008,1.5040524793793135e-5,NA,NA,-1.3711381418036366,4.770276662140423e-6
Pm92_005469,ladS,biofilm,PFLU_5398,1.0342702803374004,1.1349749994541568e-5,NA,NA,-1.0566731966321865,1.135742451302172e-5
Pm92_005642,trpE,biofilm,PFLU_5561,-1.6589093263533352,7.187444305951255e-9,NA,NA,1.4474603599916993,8.257887454533114e-7
Pm92_005828,chpA,biofilm,PFLU_5748,-1.2788297049935626,1.1059634415766729e-6,NA,NA,1.3825451194981107,1.7862094498100487e-7
Pm92_005829,pilJ,biofilm,PFLU_5749,-1.2860268025419412,6.581940554338545e-7,NA,NA,1.227756773576254,3.1218513302811887e-6
Pm92_006088,ppkA,biofilm,PFLU_6010,-2.7991400057042144,5.203509638253414e-35,NA,NA,2.7168310737815626,1.0608012986133372e-32
Pm92_006089,pppA,biofilm,PFLU_6011,-2.1423945240592195,0.0013633314779482508,NA,NA,2.2502479722703552,9.20382193593176e-4
Pm92_006090,impM,biofilm,PFLU_6012,-1.937817859442547,2.283381731514213e-7,NA,NA,1.8892036855388548,7.12619194045076e-7
Pm92_006091,icmF,biofilm,PFLU_6013,-2.9365661539475703,2.633388743443183e-40,NA,NA,2.770451392687687,1.485584030971041e-35
Pm92_006093,impJ2,biofilm,PFLU_6015,-2.7121077052610167,1.3106429659455122e-13,NA,NA,2.432136604652482,6.388196777070153e-11
Pm92_006096,-,biofilm,PFLU_6018,-4.14857572245773,3.4069255011817174e-49,NA,NA,3.6652639919599834,3.61834935468167e-38
Pm92_006098,impC,biofilm,PFLU_6020,-4.183010564463199,1.121343557536858e-62,NA,NA,4.086278818883421,2.155974778490491e-59
Pm92_006099,hcp,biofilm,PFLU_6021,-4.582764309620399,2.5353951416806035e-63,NA,NA,4.106274097852545,1.0567591410779905e-50
Pm92_006102,impH2,biofilm,PFLU_6024,-4.089630132003993,7.024800228548028e-25,NA,NA,3.9655798970517244,3.2659419248206193e-23
Pm92_006103,clpV,biofilm,PFLU_6025,-3.0273650174951756,2.1684951647231753e-35,NA,NA,2.8710802324163818,1.5262120260839417e-31
NA,NA,biofilm,PFLU_5750,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5747,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5751,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5752,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_0497,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3573,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5556,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_0192,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_2255,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1528,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4443,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1386,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5689,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1434,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1384,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1385,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5560,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_0610,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_2189,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4746,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4165,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4324,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1736,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4736,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4417,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3543,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3544,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6017,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3548,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6019,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3034,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3547,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3550,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1224,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3760,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_2753,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1349,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1081,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1114,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3130,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4858,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_2071,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5749,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5748,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5561,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_3777,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_5398,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_1837,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4431,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4432,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_4433,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6010,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6011,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6012,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6013,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6015,NA,NA,NA,NA,NA,NA
NA,NA,biofilm,PFLU_6018,NA,NA,NA,NA,NA,NA
