locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
FNPKGJ_00040,119.5166872301346,-2.2528817538958843,0.3068987287488445,-7.340798585515048,2.1232313021260933e-13,1.5718554718026145e-12,yes,yes,contig_1,CDS,FNPKGJ_00040,PlsC domain-containing protein,NA,PlsC domain-containing protein,down,216595.PFLU_0008,5.93e-189,524,"COG0204@1|root,COG0204@2|Bacteria,1MY51@1224|Proteobacteria,1RQYC@1236|Gammaproteobacteria,1YMF2@136843|Pseudomonas fluorescens group",1224|Proteobacteria,I,Phosphate acyltransferases,plsC,-,2.3.1.51,ko:K00655,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110",M00089,"R02241,R09381","RC00004,RC00037,RC00039","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,Acyltransferase
FNPKGJ_00045,115.71662286611462,-2.2072577632333386,0.32224127544167913,-6.84970527195179,7.400229158723728e-12,4.727539956850298e-11,yes,yes,contig_1,CDS,FNPKGJ_00045,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",gmhB,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",down,1470593.BW43_01137,1.63e-127,362,"COG0241@1|root,COG0241@2|Bacteria,1RDGR@1224|Proteobacteria,1S3UD@1236|Gammaproteobacteria",1224|Proteobacteria,E,"D,D-heptose 1,7-bisphosphate phosphatase",gmhB,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008270,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0034200,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0046914","3.1.3.82,3.1.3.83",ko:K03273,"ko00540,ko01100,map00540,map01100",M00064,"R05647,R09771",RC00017,"ko00000,ko00001,ko00002,ko01000,ko01005",-,-,iJN746.PP_0059,"Hydrolase_like,PNK3P"
FNPKGJ_00080,52.4311879004703,-2.213888978387793,0.40128999305623403,-5.516930441067723,3.449718936587789e-8,1.507291967179551e-7,yes,yes,contig_1,CDS,FNPKGJ_00080,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,down,216595.PFLU_0016,1.24e-305,859,"COG0144@1|root,COG0144@2|Bacteria,1MWPE@1224|Proteobacteria,1RN8X@1236|Gammaproteobacteria,1YMYN@136843|Pseudomonas fluorescens group",1224|Proteobacteria,J,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA,sun,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",2.1.1.176,ko:K03500,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"Methyltr_RsmB-F,Methyltr_RsmF_N,NusB"
FNPKGJ_00115,68.26836108922616,-3.24130659824242,0.47534950313209723,-6.818786128701763,9.181296382688769e-12,5.799110405164405e-11,yes,yes,contig_1,CDS,FNPKGJ_00115,oxygen-dependent coproporphyrinogen oxidase,hemF,oxygen-dependent coproporphyrinogen oxidase,down,216595.PFLU_0023,8.11e-239,654,"COG0408@1|root,COG0408@2|Bacteria,1MWMF@1224|Proteobacteria,1RMM8@1236|Gammaproteobacteria,1YMJP@136843|Pseudomonas fluorescens group",1224|Proteobacteria,H,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,hemF,"GO:0003674,GO:0003824,GO:0004109,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016491,GO:0016627,GO:0016634,GO:0018130,GO:0019438,GO:0030145,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046872,GO:0046906,GO:0046914,GO:0046983,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",1.3.3.3,ko:K00228,"ko00860,ko01100,ko01110,map00860,map01100,map01110",M00121,R03220,RC00884,"ko00000,ko00001,ko00002,ko01000",-,-,"iAF1260.b2436,iBWG_1329.BWG_2198,iECDH10B_1368.ECDH10B_2601,iECDH1ME8569_1439.ECDH1ME8569_2370,iETEC_1333.ETEC_2549,iEcDH1_1363.EcDH1_1225,iEcHS_1320.EcHS_A2573,iEcolC_1368.EcolC_1243,iJO1366.b2436,iJR904.b2436,iY75_1357.Y75_RS12760",Coprogen_oxidas
FNPKGJ_00120,157.04445959815857,-2.938899269725306,0.3377326839509764,-8.701850337209004,3.265160183797066e-18,3.561571888425452e-17,yes,yes,contig_1,CDS,FNPKGJ_00120,shikimate dehydrogenase,aroE,shikimate dehydrogenase,down,216595.PFLU_0024,1.57e-192,534,"COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,1RPB7@1236|Gammaproteobacteria,1YPCG@136843|Pseudomonas fluorescens group",1224|Proteobacteria,E,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",aroE,"GO:0000003,GO:0000166,GO:0003006,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009790,GO:0009791,GO:0009793,GO:0009987,GO:0010154,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0022414,GO:0032501,GO:0032502,GO:0032787,GO:0036094,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050661,GO:0050662,GO:0055114,GO:0061458,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615",1.1.1.25,ko:K00014,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R02413,RC00206,"ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_3165,iECOK1_1307.ECOK1_3701,iECS88_1305.ECS88_3669,iECUMN_1333.ECUMN_3755,iSBO_1134.SBO_3275,iUMN146_1321.UM146_16315,iUTI89_1310.UTI89_C3726","Shikimate_DH,Shikimate_dh_N"
FNPKGJ_00145,87.68334731581997,2.1868095801994634,0.25236675728168395,8.665204576681287,4.50702946643779e-18,4.83053053615423e-17,yes,yes,contig_1,CDS,FNPKGJ_00145,"4,5-dioxygenase",NA,"4,5-dioxygenase",up,216595.PFLU_0029,2.04e-80,238,"COG3805@1|root,COG3805@2|Bacteria,1RIFS@1224|Proteobacteria,1SZVF@1236|Gammaproteobacteria,1YQPS@136843|Pseudomonas fluorescens group",1224|Proteobacteria,Q,"Dopa 4,5-dioxygenase family",-,-,-,ko:K10253,-,-,-,-,"ko00000,ko01000",-,-,-,DOPA_dioxygen
FNPKGJ_00150,325.0179079126297,3.8438437746918512,0.3716346974028282,10.34307022878806,4.498885562722819e-25,7.731045804991839e-24,yes,yes,contig_1,CDS,FNPKGJ_00150,2-dehydro-3-deoxygalactonokinase,NA,2-dehydro-3-deoxygalactonokinase,up,216595.PFLU_0030,6.149999999999998e-234,643,"COG3734@1|root,COG3734@2|Bacteria,1MWGX@1224|Proteobacteria,1RYZB@1236|Gammaproteobacteria,1YNGB@136843|Pseudomonas fluorescens group",1224|Proteobacteria,G,2-keto-3-deoxy-galactonokinase,dgoK,-,2.7.1.58,ko:K00883,"ko00052,ko01100,map00052,map01100",M00552,R03387,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,DGOK
FNPKGJ_00155,100.02224655114979,3.425572349727111,0.3826815975037846,8.951494851260083,3.5070047259953587e-19,4.0402796019332296e-18,yes,yes,contig_1,CDS,FNPKGJ_00155,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,NA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,up,216595.PFLU_0031,4.3299999999999996e-139,394,"COG0800@1|root,COG0800@2|Bacteria,1RD0T@1224|Proteobacteria,1RQMK@1236|Gammaproteobacteria,1YPAY@136843|Pseudomonas fluorescens group",1224|Proteobacteria,G,KDPG and KHG aldolase,dgoA,-,4.1.2.21,ko:K01631,"ko00052,ko01100,map00052,map01100",M00552,R01064,"RC00307,RC00435","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldolase
FNPKGJ_00195,1171.2619008337374,-2.4639188865073685,0.28885228817914516,-8.53003070198722,1.4630888178438994e-17,1.5102218804321592e-16,yes,yes,contig_1,CDS,FNPKGJ_00195,DUF883 domain-containing protein,NA,DUF883 domain-containing protein,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FNPKGJ_00200,985.3685166005288,-2.091908223584117,0.2433198201260797,-8.597360554105968,8.15704025834474e-18,8.548911698353806e-17,yes,yes,contig_1,CDS,FNPKGJ_00200,dodecin flavoprotein,NA,dodecin flavoprotein,down,216595.PFLU_0039,1.3e-44,144,"COG3360@1|root,COG3360@2|Bacteria,1N6UT@1224|Proteobacteria,1SCF7@1236|Gammaproteobacteria,1YQS9@136843|Pseudomonas fluorescens group",1224|Proteobacteria,S,Dodecin,-,-,-,ko:K09165,-,-,-,-,ko00000,-,-,-,Dodecin
