locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00305,90464.80672804579,-2.005903613909679,0.20272945611623747,-9.894485253093015,4.39867417468108e-23,3.141807111325486e-21,yes,yes,CP020102.1,CDS,cds-AQZ88962.1,AQZ88962.1,spoVG,septation protein spoVG,down,1051501.AYTL01000009_gene188,1.73e-63,194,"COG2088@1|root,COG2088@2|Bacteria,1V9ZG@1239|Firmicutes,4HIPT@91061|Bacilli,1ZGXK@1386|Bacillus",91061|Bacilli,D,Essential for sporulation. Interferes with or is a negative regulator of the pathway leading to asymmetric septation,spoVG,"GO:0000003,GO:0008150,GO:0019954,GO:0030436,GO:0032502,GO:0043934",-,ko:K06412,-,-,-,-,ko00000,-,-,-,SpoVG
B4U62_00770,16.93275329565139,2.245195397530966,0.6810906075934994,3.296470943071621,9.79077418499366e-4,0.004223604269704691,yes,yes,CP020102.1,CDS,cds-AQZ89037.1,AQZ89037.1,rpmC,50S ribosomal protein L29,up,1051501.AYTL01000005_gene344,1.8799999999999998e-35,120,"COG0255@1|root,COG0255@2|Bacteria,1VEME@1239|Firmicutes,4HNUP@91061|Bacilli,1ZI7W@1386|Bacillus",91061|Bacilli,J,Belongs to the universal ribosomal protein uL29 family,rpmC,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",-,ko:K02904,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L29
B4U62_00965,13.779904413036986,-3.104109544405517,0.6926812311006616,-4.481295876132123,7.419117140226458e-6,5.57329196206322e-5,yes,yes,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_01150,26903.419590325928,2.0436675289181014,0.2586161305778524,7.902320417337181,2.73758588330883e-15,8.519758352554694e-14,yes,yes,CP020102.1,CDS,cds-AQZ89092.1,AQZ89092.1,glmS,glutamine--fructose-6-phosphate aminotransferase,up,224308.BSU01780,0,1162,"COG0449@1|root,COG0449@2|Bacteria,1TPGU@1239|Firmicutes,4H9R4@91061|Bacilli,1ZBI5@1386|Bacillus",91061|Bacilli,M,"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source",glmS,"GO:0003674,GO:0003824,GO:0004360,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006002,GO:0006040,GO:0006047,GO:0006139,GO:0006464,GO:0006486,GO:0006487,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009225,GO:0009987,GO:0016740,GO:0016769,GO:0019538,GO:0019637,GO:0034641,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0055086,GO:0070085,GO:0070548,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901564,GO:1901566,GO:1901576",2.6.1.16,ko:K00820,"ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931",-,R00768,"RC00010,RC00163,RC02752","ko00000,ko00001,ko01000,ko01002",-,-,"iSB619.SA_RS11245,iYO844.BSU01780","GATase_6,SIS"
B4U62_01210,697.1071434226895,-2.62810265312522,0.5017463958678652,-5.2379103761760355,1.6240488950257974e-7,1.786863897885707e-6,yes,yes,CP020102.1,CDS,cds-AQZ89104.1,AQZ89104.1,skfA,sporulation killing factor,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_01455,318.12208225204137,-2.84561138995581,0.26921621711096594,-10.569985049536974,4.105600785603629e-26,4.06547786883523e-24,yes,yes,CP020102.1,CDS,cds-AQZ89150.1,AQZ89150.1,ybgF,amino acid permease,down,224308.BSU02400,0,909,"COG0833@1|root,COG0833@2|Bacteria,1UHNR@1239|Firmicutes,4HUT7@91061|Bacilli,1ZB12@1386|Bacillus",91061|Bacilli,E,amino acid,ybgF,"GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006520,GO:0006525,GO:0006807,GO:0008150,GO:0008152,GO:0009064,GO:0009987,GO:0016020,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901605",-,"ko:K02205,ko:K03293,ko:K16235,ko:K16236",-,-,-,-,"ko00000,ko02000","2.A.3.1,2.A.3.1.10",-,iYO844.BSU39390,AA_permease
B4U62_01805,1146.4490697906374,6.088314460252463,0.606872740940557,10.032275384154735,1.099530631363667e-23,8.710281747002721e-22,yes,yes,CP020102.1,CDS,cds-AQZ89213.1,AQZ89213.1,ldh,L-lactate dehydrogenase,up,224308.BSU03050,2.06e-233,642,"COG0039@1|root,COG0039@2|Bacteria,1TPSY@1239|Firmicutes,4HB0Z@91061|Bacilli,1ZD2C@1386|Bacillus",91061|Bacilli,C,Belongs to the LDH MDH superfamily. LDH family,ldh,"GO:0003674,GO:0003824,GO:0004457,GO:0004459,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",1.1.1.27,ko:K00016,"ko00010,ko00270,ko00620,ko00640,ko01100,ko01110,ko01120,ko01130,ko04922,map00010,map00270,map00620,map00640,map01100,map01110,map01120,map01130,map04922",-,"R00703,R01000,R03104","RC00031,RC00044","ko00000,ko00001,ko01000,ko04147",-,-,-,"Ldh_1_C,Ldh_1_N"
B4U62_01810,566.4072159211391,4.729330957050793,0.35259942670712036,13.412758498269248,5.090939750358363e-41,1.7062480378701065e-38,yes,yes,CP020102.1,CDS,cds-AQZ89214.1,AQZ89214.1,lctP,L-lactate permease,up,224308.BSU03060,0,1014,"COG1620@1|root,COG1620@2|Bacteria,1TQNM@1239|Firmicutes,4HAF3@91061|Bacilli,1ZC0U@1386|Bacillus",91061|Bacilli,C,L-lactate permease,lctP,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K03303,-,-,-,-,"ko00000,ko02000",2.A.14,-,-,Lactate_perm
B4U62_01875,156.04435227375023,-2.133326124832931,0.4724086951586205,-4.515848558030086,6.306372271228253e-6,4.85456960878825e-5,yes,yes,CP020102.1,CDS,cds-AQZ89226.1,AQZ89226.1,cah,cephalosporin deacetylase,down,224308.BSU03180,1.1499999999999999e-233,642,"COG3458@1|root,COG3458@2|Bacteria,1TS02@1239|Firmicutes,4HD1F@91061|Bacilli,1ZQXB@1386|Bacillus",91061|Bacilli,Q,Acetyl xylan esterase (AXE1),cah,-,3.1.1.41,ko:K01060,"ko00311,ko01130,map00311,map01130",-,R03062,"RC00020,RC00041","ko00000,ko00001,ko01000",-,-,-,AXE1
B4U62_01885,1024.8469704834438,-2.4455309449784357,0.2619144253725512,-9.33713727871183,9.897389770359176e-21,5.133681813030349e-19,yes,yes,CP020102.1,CDS,cds-AQZ92999.1,AQZ92999.1,ycgM,Proline dehydrogenase 2,down,224308.BSU03200,1.4799999999999999e-217,600,"COG0506@1|root,COG0506@2|Bacteria,1TQV3@1239|Firmicutes,4HAC1@91061|Bacilli,1ZB5G@1386|Bacillus",91061|Bacilli,E,Proline dehydrogenase,ycgM,"GO:0000166,GO:0003674,GO:0003824,GO:0004657,GO:0005488,GO:0006082,GO:0006520,GO:0006560,GO:0006562,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016491,GO:0016645,GO:0019752,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0046483,GO:0046700,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0071949,GO:0097159,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606",-,ko:K00318,"ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130",-,R10507,RC00083,"ko00000,ko00001,ko01000",-,-,-,Pro_dh
