#	up	fill
AQZ89659.1	K03319	up
AQZ89776.1	K06329	up
AQZ89776.1	K06439	up
AQZ90035.1	K15580	up
AQZ90234.1	K01971	up
AQZ90408.1	K08384	up
AQZ90517.1	K02385	up
AQZ90551.1	K02519	up
AQZ90658.1	K03116	up
AQZ90658.1	K03117	up
AQZ90658.1	K03646	up
AQZ90663.1	K06288	up
AQZ90663.1	K06291	up
AQZ90663.1	K06310	up
AQZ91236.1	K06408	up
AQZ91364.1	K02243	up
AQZ91469.1	K01759	up
AQZ91589.1	K06440	up
AQZ91731.1	K01776	up
AQZ91731.1	K02428	up
AQZ91948.1	K04047	up
AQZ91966.1	K08680	up
AQZ91979.1	K05770	up
AQZ92235.1	K16044	up
AQZ92244.1	K03928	up
#	down	fill
AQZ88954.1	K05985	down
AQZ89264.1	K07149	down
AQZ89403.1	K06359	down
AQZ89403.1	K06360	down
AQZ89403.1	K06367	down
AQZ89724.1	K02099	down
AQZ90150.1	K07474	down
AQZ90205.1	K01433	down
AQZ90573.1	K00059	down
AQZ90699.1	K03310	down
AQZ90699.1	K11626	down
AQZ90811.1	K10255	down
AQZ91431.1	K09761	down
AQZ91531.1	K06400	down
AQZ91855.1	K08968	down
AQZ91858.1	K02986	down
AQZ91953.1	K01673	down
AQZ92265.1	K22301	down
AQZ92464.1	K22116	down
AQZ92637.1	K09388	down
AQZ92638.1	K06885	down
AQZ92732.1	K00826	down
AQZ92902.1	K00783	down
