target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1065.6	0	0
gene-B4U62_00010	1137	861.597	0	0
gene-B4U62_00015	216	49.2082	0	0
gene-B4U62_00020	1113	837.597	0	0
gene-B4U62_00025	246	56.8192	0	0
gene-B4U62_00030	1917	1641.6	0	0
gene-B4U62_00035	2466	2190.6	0	0
rna-B4U62_00040	1556	1280.6	0.461184	0.007329
rna-B4U62_00045	77	16.1667	0	0
rna-B4U62_00050	76	15.1667	7.995e-07	1.07278e-06
rna-B4U62_00055	2933	2657.6	238.805	1.82868
rna-B4U62_00060	116	19.7549	0	0
gene-B4U62_00065	948	672.597	0	0
gene-B4U62_00070	1467	1191.6	0	0
gene-B4U62_00075	1332	1056.6	0	0
gene-B4U62_00080	885	609.597	0	0
gene-B4U62_00085	591	315.671	0	0
gene-B4U62_00090	1278	1002.6	0	0
rna-B4U62_00095	93	17.4407	0	0
gene-B4U62_00100	654	378.621	0	0
gene-B4U62_00105	624	348.638	0	0
gene-B4U62_00110	1284	1008.6	0	0
gene-B4U62_00115	546	270.786	0	0
gene-B4U62_00120	486	211.027	0	0
rna-B4U62_00125	265	61.7567	2	0.659067
gene-B4U62_00130	1692	1416.6	0	0
gene-B4U62_00135	324	75.5798	0	0
gene-B4U62_00140	597	321.671	0	0
gene-B4U62_00145	225	51.6806	0	0
gene-B4U62_00150	264	61.4287	0	0
rna-B4U62_00155	1554	1278.6	119.118	1.89595
rna-B4U62_00160	77	16.1667	0	0
rna-B4U62_00165	76	15.1667	7.995e-07	1.07278e-06
rna-B4U62_00170	2933	2657.6	6.01115e-06	4.60312e-08
rna-B4U62_00175	116	19.7549	0	0
gene-B4U62_00180	195	42.4669	0	0
gene-B4U62_00185	615	339.638	0	0
gene-B4U62_00190	1161	885.597	0	0
gene-B4U62_00195	1443	1167.6	0	0
gene-B4U62_00200	639	363.621	0	0
gene-B4U62_00205	330	77.4669	0	0
gene-B4U62_00210	441	166.686	0	0
gene-B4U62_00215	990	714.597	0	0
gene-B4U62_00220	828	552.597	0	0
gene-B4U62_00225	360	92.9236	0	0
gene-B4U62_00230	744	468.597	0	0
gene-B4U62_00235	300	69.3212	0	0
gene-B4U62_00240	879	603.597	0	0
gene-B4U62_00245	291	67.7245	0	0
gene-B4U62_00250	1995	1719.6	0	0
gene-B4U62_00255	768	492.597	0	0
gene-B4U62_00260	1314	1038.6	0	0
gene-B4U62_00265	561	285.731	0	0
gene-B4U62_00270	879	603.597	0	0
gene-B4U62_00275	873	597.597	0	0
gene-B4U62_00280	261	60.2736	0	0
gene-B4U62_00285	186	39.5517	0	0
gene-B4U62_00290	870	594.597	0	0
gene-B4U62_00295	858	582.597	0	0
gene-B4U62_00300	378	108.214	0	0
gene-B4U62_00305	294	68.444	0	0
gene-B4U62_00310	1371	1095.6	0	0
gene-B4U62_00315	954	678.597	0	0
gene-B4U62_00320	615	339.638	0	0
gene-B4U62_00325	567	291.731	0	0
gene-B4U62_00330	231	53.1812	0	0
gene-B4U62_00335	3534	3258.6	0	0
gene-B4U62_00340	537	261.812	0	0
gene-B4U62_00345	1599	1323.6	0	0
gene-B4U62_00350	1470	1194.6	0	0
gene-B4U62_00355	261	60.2736	0	0
gene-B4U62_00360	303	69.8783	0	0
gene-B4U62_00365	636	360.621	0	0
gene-B4U62_00370	378	108.214	0	0
gene-B4U62_00375	387	116.093	0	0
rna-B4U62_00380	77	16.1667	0	0
rna-B4U62_00385	72	15.8571	0	0
gene-B4U62_00390	2484	2208.6	0	0
gene-B4U62_00395	738	462.621	0	0
gene-B4U62_00400	1017	741.597	0	0
gene-B4U62_00405	1419	1143.6	0	0
gene-B4U62_00410	543	267.786	0	0
gene-B4U62_00415	1914	1638.6	1	0.0124197
gene-B4U62_00420	777	501.597	0	0
gene-B4U62_00425	876	600.597	0	0
