Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_14870,,IS481 family transposase,0_refound_3387_stop,1_refound_7533,2_refound_11791_stop,3_refound_15868_stop,4_refound_19914,5_refound_24137_stop,DILMCD_29035,7_refound_32342_stop,8_refound_36476_stop,9_refound_40598_stop,10_refound_44780_stop,11_refound_49020_stop,CELEIN_12695,13_refound_57443_stop,14_refound_61533_stop,15_refound_65770_stop,16_refound_68609_stop
group_14860,,Haemagg-act domain-containing protein,0_refound_2671_stop,1_refound_6779_stop,2_refound_11060_stop,3_refound_15137_stop,4_refound_19121_stop,5_refound_23411_stop,6_refound_27578_stop,7_refound_31574_stop,8_refound_35664_stop,9_refound_39823_stop,10_refound_43980_stop,11_refound_48218_stop,12_refound_52543_stop,13_refound_56630_stop,OFJEOJ_21595,15_refound_65019_stop,16_refound_68228_stop
group_14857,,Glycine zipper 2TM domain-containing protein,AEKEPN_01155,HMDFDK_14200,DGIGOC_16640,OELDID_14890,NDFCFG_28565,NFOGGK_02435,DILMCD_02230,CJMOAC_21820,GGGPIC_02310,KLDNLM_03000,KAGCPN_02530,NDMAAC_02525,CELEIN_01330,FNPKGJ_01415,OFJEOJ_28750,OGPOLJ_01405,16_refound_69188
group_14852,,Efflux RND transporter periplasmic adaptor subunit;efflux RND transporter periplasmic adaptor subunit,AEKEPN_05835,HMDFDK_10220,DGIGOC_12385,OELDID_19145,NDFCFG_24355,NFOGGK_06690,DILMCD_23980,CJMOAC_18855,GGGPIC_07175,KLDNLM_24210,KAGCPN_06520,NDMAAC_06510,CELEIN_05690,FNPKGJ_06625,OFJEOJ_24640,OGPOLJ_06285,MOKLEP_04360
group_14850,,Transposase,0_refound_2515_stop,1_refound_6623_stop,2_refound_10890_stop,3_refound_14966_stop,4_refound_18979_stop,5_refound_23246_stop,6_refound_27414,7_refound_31392,8_refound_35518_stop,9_refound_39682_stop,10_refound_43837_stop,11_refound_48073_stop,12_refound_52376_stop,FNPKGJ_30645,14_refound_60779_stop,15_refound_64865_stop,16_refound_68165_stop
oscA,oscA,sulfur starvation response protein OscA,AEKEPN_00820,HMDFDK_14580,DGIGOC_17040,OELDID_14490,NDFCFG_28880,NFOGGK_02035,DILMCD_02675,CJMOAC_21295,GGGPIC_01925,KLDNLM_02680,KAGCPN_01930,NDMAAC_01930,CELEIN_00885,FNPKGJ_00980,OFJEOJ_29220,OGPOLJ_00970,MOKLEP_01370
group_14846,pntA;,NAD(P)(+) transhydrogenase,AEKEPN_00535,HMDFDK_14950,DGIGOC_17375,OELDID_14155,NDFCFG_00030,NFOGGK_01700,DILMCD_03055,CJMOAC_00105,GGGPIC_01450,KLDNLM_00480,KAGCPN_01740,NDMAAC_01735,CELEIN_00580,FNPKGJ_00560,OFJEOJ_29650,OGPOLJ_00555,MOKLEP_01795
group_14844,,LacI family transcriptional regulator;ABC transporter substrate-binding protein,AEKEPN_17505,HMDFDK_25715,DGIGOC_05445,OELDID_26085,NDFCFG_17060,NFOGGK_13625,DILMCD_16575,CJMOAC_24055,8_refound_36925_stop,KLDNLM_18345,KAGCPN_11650,NDMAAC_11645,CELEIN_16430,13_refound_57827,OFJEOJ_12335,15_refound_66151,16_refound_69183
group_14842,,iron ABC transporter substrate-binding protein,AEKEPN_30335,HMDFDK_16600,DGIGOC_19480,OELDID_12050,NDFCFG_01700,NFOGGK_28245,DILMCD_05050,CJMOAC_02110,GGGPIC_27030,KLDNLM_28605,KAGCPN_28525,NDMAAC_28520,CELEIN_28280,FNPKGJ_29735,OFJEOJ_01295,OGPOLJ_29495,MOKLEP_09475
ltaE,ltaE,low-specificity L-threonine aldolase,AEKEPN_24465,HMDFDK_09100,DGIGOC_10840,OELDID_20690,NDFCFG_23795,NFOGGK_08235,DILMCD_11130,CJMOAC_08895,GGGPIC_21370,KLDNLM_22650,KAGCPN_22365,NDMAAC_22370,CELEIN_21960,FNPKGJ_23950,OFJEOJ_08300,OGPOLJ_23705,16_refound_66913_stop
