target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1062.41	354	3.6621
gene-B4U62_00010	1137	858.414	511	6.54251
gene-B4U62_00015	216	40.8237	94	25.3067
gene-B4U62_00020	1113	834.414	4127	54.3592
gene-B4U62_00025	246	47.0882	98	22.8736
gene-B4U62_00030	1917	1638.41	2293	15.3816
gene-B4U62_00035	2466	2187.41	2488	12.5009
rna-B4U62_00040	1556	1277.41	2051.08	17.647
rna-B4U62_00045	77	23.1	0	0
rna-B4U62_00050	76	24.5556	30.3267	13.5736
rna-B4U62_00055	2933	2654.41	3823.58	15.8315
rna-B4U62_00060	116	20.0943	1.77778	0.972353
gene-B4U62_00065	948	669.414	48	0.788074
gene-B4U62_00070	1467	1188.41	1781	16.4709
gene-B4U62_00075	1332	1053.41	2259	23.5688
gene-B4U62_00080	885	606.414	827	14.9884
gene-B4U62_00085	591	312.436	768	27.0159
gene-B4U62_00090	1278	999.414	279	3.06817
rna-B4U62_00095	93	20.0408	316.488	173.565
gene-B4U62_00100	654	375.436	305	8.92861
gene-B4U62_00105	624	345.436	304	9.67222
gene-B4U62_00110	1284	1005.41	114	1.24618
gene-B4U62_00115	546	267.436	167	6.86304
gene-B4U62_00120	486	207.562	225	11.914
rna-B4U62_00125	265	51.9561	17660	3735.72
gene-B4U62_00130	1692	1413.41	645	5.01546
gene-B4U62_00135	324	67.9593	295	47.7083
gene-B4U62_00140	597	318.436	125	4.31428
gene-B4U62_00145	225	42.497	33	8.53447
gene-B4U62_00150	264	51.625	15	3.19339
rna-B4U62_00155	1554	1275.41	148.09	1.27613
rna-B4U62_00160	77	23.1	0	0
rna-B4U62_00165	76	24.5556	30.3267	13.5736
rna-B4U62_00170	2933	2654.41	890.733	3.68807
rna-B4U62_00175	116	20.0943	1.77778	0.972353
gene-B4U62_00180	195	36.1421	2	0.608187
gene-B4U62_00185	615	336.436	571	18.6532
gene-B4U62_00190	1161	882.414	1210	15.0707
gene-B4U62_00195	1443	1164.41	1898	17.9147
gene-B4U62_00200	639	360.436	305	9.30019
gene-B4U62_00205	330	70.409	371	57.9117
gene-B4U62_00210	441	163.134	299	20.144
gene-B4U62_00215	990	711.414	1741	26.8966
gene-B4U62_00220	828	549.414	1037	20.7443
gene-B4U62_00225	360	88.1615	437	54.4782
gene-B4U62_00230	744	465.414	35	0.826511
gene-B4U62_00235	300	61.1977	4	0.718365
gene-B4U62_00240	879	600.414	84	1.53762
gene-B4U62_00245	291	58.8637	36675	6847.67
gene-B4U62_00250	1995	1716.41	1089	6.9731
gene-B4U62_00255	768	489.414	66	1.48214
gene-B4U62_00260	1314	1035.41	6421	68.1568
gene-B4U62_00265	561	282.436	39	1.51763
gene-B4U62_00270	879	600.414	272	4.97896
gene-B4U62_00275	873	594.414	9	0.166408
gene-B4U62_00280	261	50.5923	9230	2005.11
gene-B4U62_00285	186	33.2281	82	27.1225
gene-B4U62_00290	870	591.414	88	1.63535
gene-B4U62_00295	858	579.414	929	17.6217
gene-B4U62_00300	378	103.822	679	71.8785
gene-B4U62_00305	294	59.7663	33120	6090.52
gene-B4U62_00310	1371	1092.41	670	6.74074
gene-B4U62_00315	954	675.414	231	3.75891
gene-B4U62_00320	615	336.436	19180	626.565
gene-B4U62_00325	567	288.436	748	28.5018
gene-B4U62_00330	231	43.6504	215	54.1341
gene-B4U62_00335	3534	3255.41	797	2.69074
gene-B4U62_00340	537	258.436	356	15.1397
gene-B4U62_00345	1599	1320.41	68	0.566004
gene-B4U62_00350	1470	1191.41	269	2.48148
gene-B4U62_00355	261	50.5923	33	7.16886
gene-B4U62_00360	303	61.7571	43	7.65247
gene-B4U62_00365	636	357.436	733	22.5385
gene-B4U62_00370	378	103.822	1769	187.265
gene-B4U62_00375	387	111.702	7589	746.698
rna-B4U62_00380	77	23.1	7.5	3.56837
rna-B4U62_00385	72	25.0667	0.00956521	0.0041939
gene-B4U62_00390	2484	2205.41	122	0.607981
gene-B4U62_00395	738	459.414	50	1.19615
gene-B4U62_00400	1017	738.414	33	0.491173
gene-B4U62_00405	1419	1140.41	3327	32.0635
gene-B4U62_00410	543	264.436	399	16.5834
gene-B4U62_00415	1914	1635.41	7291	48.9982
gene-B4U62_00420	777	498.414	285	6.28456
gene-B4U62_00425	876	597.414	254	4.67282
gene-B4U62_00430	894	615.414	83	1.48228
gene-B4U62_00435	927	648.414	1345	22.7977
gene-B4U62_00440	1413	1134.41	376	3.64281
gene-B4U62_00445	585	306.436	951	34.1084
gene-B4U62_00450	882	603.414	492	8.96128
gene-B4U62_00455	858	579.414	168	3.1867
gene-B4U62_00460	363	90.7241	7	0.848
gene-B4U62_00465	504	225.496	61	2.97312
gene-B4U62_00470	210	40.0688	9	2.46863
gene-B4U62_00475	1002	723.414	1043	15.8459
gene-B4U62_00480	1500	1221.41	986	8.87226
rna-B4U62_00485	1555	1276.41	654.674	5.63708
rna-B4U62_00490	2933	2654.41	890.733	3.68807
rna-B4U62_00495	116	20.0943	1.77778	0.972353
rna-B4U62_00500	76	24.5556	3.86029	1.72779
rna-B4U62_00505	76	24.5556	29	12.9798
rna-B4U62_00510	76	24.5556	109	48.7862
rna-B4U62_00515	83	23.3462	37.0943	17.4627
rna-B4U62_00520	75	24.9412	43.75	19.2789
rna-B4U62_00525	86	21.875	0	0
rna-B4U62_00530	77	23.1	36.75	17.485
rna-B4U62_00535	77	23.1	17.3333	8.2469
rna-B4U62_00540	76	24.5556	30.3267	13.5736
rna-B4U62_00545	1555	1276.41	98.2252	0.845769
rna-B4U62_00550	2933	2654.41	2664.74	11.0333
rna-B4U62_00555	116	20.0943	1.77778	0.972353
gene-B4U62_00560	465	186.709	858	50.506
gene-B4U62_00565	558	279.436	632	24.8573
gene-B4U62_00570	1092	813.414	819	11.066
gene-B4U62_00575	2433	2154.41	2650	13.5188
gene-B4U62_00580	1377	1098.41	4725	47.2777
gene-B4U62_00585	1083	804.414	395	5.39682
gene-B4U62_00590	1101	822.414	995	13.297
gene-B4U62_00595	699	420.436	247	6.4568
gene-B4U62_00600	477	198.591	28	1.54959
gene-B4U62_00605	1452	1173.41	3699	34.646
gene-B4U62_00610	186	33.2281	186	61.5217
gene-B4U62_00615	653	374.436	7	0.205466
gene-B4U62_00620	1401	1122.41	141	1.38066
gene-B4U62_00625	432	154.285	13	0.926062
gene-B4U62_00630	750	471.414	31	0.722736
gene-B4U62_00635	513	234.484	7	0.328099
gene-B4U62_00640	657	378.436	615	17.8609
gene-B4U62_00645	150	24.0631	352	160.773
gene-B4U62_00650	180	31.4447	759	265.287
gene-B4U62_00655	534	255.436	164	7.05638
gene-B4U62_00660	426	148.498	32582	2411.45
gene-B4U62_00665	699	420.436	18449	482.273
gene-B4U62_00670	501	222.518	4411	217.867
gene-B4U62_00675	372	98.548	4382	488.703
gene-B4U62_00680	606	327.436	184	6.17606
gene-B4U62_00685	3582	3303.41	11476	38.1811
gene-B4U62_00690	3600	3321.41	10332	34.1886
gene-B4U62_00695	249	47.9245	3697	847.838
gene-B4U62_00700	417	139.882	2819	221.49
gene-B4U62_00705	471	192.709	3027	172.636
gene-B4U62_00710	2079	1800.41	18076	110.344
gene-B4U62_00715	1191	912.414	21266	256.162
gene-B4U62_00720	957	678.414	92	1.49044
gene-B4U62_00725	309	63.7334	1392	240.045
gene-B4U62_00730	630	351.436	2279	71.2719
gene-B4U62_00735	624	345.436	1703	54.1835
gene-B4U62_00740	288	57.6385	335	63.8782
gene-B4U62_00745	834	555.414	2790	55.2087
gene-B4U62_00750	279	55.7182	394	77.7176
gene-B4U62_00755	342	75.4851	432	62.8989
gene-B4U62_00760	657	378.436	1081	31.3945
gene-B4U62_00765	435	157.238	262	18.3132
gene-B4U62_00770	201	37.7664	18	5.23826
gene-B4U62_00775	264	51.625	62	13.1993
gene-B4U62_00780	369	95.8816	385	44.1312
gene-B4U62_00785	312	64.5717	330	56.1684
gene-B4U62_00790	540	261.436	835	35.1027
gene-B4U62_00795	186	33.2281	119	39.3607
