locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00095,471.5367128080706,3.307384596054415,0.9491287611113167,3.4846532225847437,4.927752332987867e-4,0.0020090762722750535,yes,yes,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00110,1268.7625542861765,-2.340949420427034,0.36978752571062906,-6.3305256604542794,2.443273797971459e-10,3.2029229375177474e-9,yes,yes,CP020102.1,CDS,cds-AQZ88929.1,AQZ88929.1,yaaH,germination protein,down,224308.BSU00160,3.13e-277,761,"COG1388@1|root,COG3858@1|root,COG1388@2|Bacteria,COG3858@2|Bacteria,1TQK2@1239|Firmicutes,4HBJC@91061|Bacilli,1ZBQC@1386|Bacillus",91061|Bacilli,M,Glycoside Hydrolase Family,yaaH,-,-,ko:K06306,-,-,-,-,ko00000,-,-,-,"Glyco_hydro_18,LysM"
B4U62_00275,653.0587728493489,-4.353485090873647,0.38074707075728675,-11.4340606277411,2.825783494259199e-30,3.06287362158241e-28,yes,yes,CP020102.1,CDS,cds-AQZ88956.1,AQZ88956.1,yabG,sporulation-specific protease YabG,down,224308.BSU00430,3.7e-200,555,"28HCB@1|root,2Z7P7@2|Bacteria,1TNZK@1239|Firmicutes,4HBET@91061|Bacilli,1ZCTC@1386|Bacillus",91061|Bacilli,S,peptidase,yabG,"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0031160,GO:0043591,GO:0043593,GO:0044426,GO:0044462,GO:0044464,GO:0071944",-,ko:K06436,-,-,-,-,ko00000,-,-,-,Peptidase_U57
B4U62_00390,750.9893341387664,-2.615979534206306,0.2248587813789693,-11.633877574909665,2.7721268093311206e-31,3.5198090116192855e-29,yes,yes,CP020102.1,CDS,cds-AQZ88977.1,AQZ88977.1,spoIIE,stage II sporulation protein E,down,224308.BSU00640,0,1556,"COG2208@1|root,COG2208@2|Bacteria,1TQ92@1239|Firmicutes,4HB0X@91061|Bacilli,1ZAYZ@1386|Bacillus",91061|Bacilli,KT,stage II sporulation protein E,spoIIE,"GO:0005575,GO:0005623,GO:0042601,GO:0042763,GO:0044464",3.1.3.16,ko:K06382,-,-,-,-,"ko00000,ko01000",-,-,-,SpoIIE
B4U62_00965,13.779904413036986,2.997472201861062,0.6270835100170566,4.7800207691309415,1.7527708661409162e-6,1.274846764178434e-5,yes,yes,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_01060,726.4551580444462,-2.492580965342279,0.27711105607847397,-8.994880971607335,2.3648832883740793e-19,8.912287228281308e-18,yes,yes,CP020102.1,CDS,cds-AQZ89079.1,AQZ89079.1,ybbC,hypothetical protein,down,224308.BSU01650,3.6e-306,833,"COG3876@1|root,COG3876@2|Bacteria,1VRMG@1239|Firmicutes,4HA8F@91061|Bacilli,1ZBF3@1386|Bacillus",91061|Bacilli,S,protein conserved in bacteria,ybbC,-,-,-,-,-,-,-,-,-,-,-,DUF1343
B4U62_01065,397.89106748416543,-3.148037748826819,0.3391324557926697,-9.282620094466534,1.6536124681561087e-20,6.984476321671332e-19,yes,yes,CP020102.1,CDS,cds-AQZ89080.1,AQZ89080.1,ybbD,beta-hexosaminidase,down,224308.BSU01660,0,1244,"COG1472@1|root,COG1472@2|Bacteria,1TP63@1239|Firmicutes,4HBDB@91061|Bacilli,1ZCGR@1386|Bacillus",91061|Bacilli,G,Belongs to the glycosyl hydrolase 3 family,ybbD,-,3.2.1.52,ko:K01207,"ko00520,ko00531,ko01100,ko01501,map00520,map00531,map01100,map01501",M00628,"R00022,R05963,R07809,R07810,R10831",RC00049,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Big_2,Glyco_hydro_3,Glyco_hydro_3_C,Gram_pos_anchor,SLH"
B4U62_01070,354.05686159430087,-3.004720044823742,0.3355501177996485,-8.954608821260528,3.409423292534485e-19,1.2626230926686043e-17,yes,yes,CP020102.1,CDS,cds-AQZ89081.1,AQZ89081.1,ybbE,penicillin binding protein PBP4B,down,224308.BSU01670,0,884,"COG1680@1|root,COG1680@2|Bacteria,1U828@1239|Firmicutes,4HA0Q@91061|Bacilli,1ZBJ0@1386|Bacillus",91061|Bacilli,V,Belongs to the UPF0214 family,ybbE,-,3.4.16.4,ko:K21469,"ko00550,map00550",-,-,-,"ko00000,ko00001,ko01000,ko01002,ko01011",-,-,-,Beta-lactamase
B4U62_01075,289.2788833105884,-2.94785431311402,0.35770100558120715,-8.241112736946954,1.7061636870757655e-16,4.891736403461098e-15,yes,yes,CP020102.1,CDS,cds-AQZ89082.1,AQZ89082.1,ybbF,PTS sugar transporter subunit IIC,down,224308.BSU01680,7.289999999999999e-304,831,"COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1TP5X@1239|Firmicutes,4H9KS@91061|Bacilli,1ZE6P@1386|Bacillus",91061|Bacilli,G,phosphotransferase system,ybbF,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563,GO:0090588",2.7.1.211,"ko:K02808,ko:K02809,ko:K02810","ko00500,ko02060,map00500,map02060",M00269,R00811,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.1.2.1,4.A.1.2.10,4.A.1.2.12,4.A.1.2.9",-,-,"PTS_EIIA_1,PTS_EIIB,PTS_EIIC"
B4U62_01080,113.57056557260748,-3.0631818615355564,0.4432314618971845,-6.91102082064318,4.81178419257301e-12,8.069271302563946e-11,yes,yes,CP020102.1,CDS,cds-AQZ89083.1,AQZ89083.1,ybbH,MurR/RpiR family transcriptional regulator,down,224308.BSU01690,3.8199999999999995e-194,539,"COG1737@1|root,COG1737@2|Bacteria,1TPIX@1239|Firmicutes,4HBJA@91061|Bacilli,1ZQ09@1386|Bacillus",91061|Bacilli,K,transcriptional,ybbH,"GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,"HTH_6,SIS"
B4U62_01415,357.1492482952878,2.2947957984973737,0.2789700375292955,8.225957951690027,1.936369422252557e-16,5.446345387652129e-15,yes,yes,CP020102.1,CDS,cds-AQZ89142.1,AQZ89142.1,ybfP,AraC family transcriptional regulator,up,224308.BSU02320,5.14e-214,590,"COG2207@1|root,COG2207@2|Bacteria,1TQKE@1239|Firmicutes,4HAA2@91061|Bacilli,1ZD9Q@1386|Bacillus",91061|Bacilli,K,Transcriptional regulator,ybfP,"GO:0003674,GO:0003824,GO:0006081,GO:0006082,GO:0006089,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009438,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0019172,GO:0019243,GO:0019249,GO:0019752,GO:0032787,GO:0042180,GO:0042182,GO:0043436,GO:0044237,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0046185,GO:0046394,GO:0051596,GO:0061727,GO:0071704,GO:0072330,GO:1901575,GO:1901576,GO:1901615,GO:1901617",-,ko:K13653,-,-,-,-,"ko00000,ko03000",-,-,-,"GyrI-like,HTH_18"
B4U62_01495,26.33739242837443,-3.1569384921457138,0.6444996256882805,-4.898278239920349,9.668006873033435e-7,7.407693542027688e-6,yes,yes,CP020102.1,CDS,cds-AQZ89157.1,AQZ89157.1,ycbC,5-dehydro-4-deoxyglucarate dehydratase,down,224308.BSU02460,4.0999999999999997e-222,612,"COG0329@1|root,COG0329@2|Bacteria,1UHED@1239|Firmicutes,4HAUA@91061|Bacilli,1ZASZ@1386|Bacillus",91061|Bacilli,EM,5-dehydro-4-deoxyglucarate dehydratase activity,ycbC,-,4.2.1.41,ko:K01707,"ko00053,ko01100,map00053,map01100",-,R02279,RC00678,"ko00000,ko00001,ko01000",-,-,-,DHDPS
B4U62_01500,27.667886408784266,-3.403046272476069,0.6506882275569569,-5.229918305503982,1.6958496335461364e-7,1.4520916708052083e-6,yes,yes,CP020102.1,CDS,cds-AQZ89158.1,AQZ89158.1,ycbD,aldehyde dehydrogenase family protein,down,224308.BSU02470,0,951,"COG1012@1|root,COG1012@2|Bacteria,1TP4S@1239|Firmicutes,4H9MF@91061|Bacilli,1ZAXK@1386|Bacillus",91061|Bacilli,C,"Catalyzes the oxidation of malonate semialdehyde (MSA) and methylmalonate semialdehyde (MMSA) into acetyl-CoA and propanoyl-CoA, respectively",ycbD,-,-,ko:K22187,"ko00040,map00040",-,R11768,RC00080,"ko00000,ko00001,ko01000",-,-,-,Aldedh
B4U62_01510,4.4319455925455955,-4.716841679090837,1.4780775328078928,-3.191200444086508,0.0014168294781777265,0.00500110421050184,yes,yes,CP020102.1,CDS,cds-AQZ89160.1,AQZ89160.1,gudD,glucarate dehydratase,down,224308.BSU02490,0,926,"COG4948@1|root,COG4948@2|Bacteria,1TUWS@1239|Firmicutes,4HCCY@91061|Bacilli,1ZE3M@1386|Bacillus",91061|Bacilli,M,Belongs to the mandelate racemase muconate lactonizing enzyme family,gudD,-,4.2.1.40,ko:K01706,"ko00053,ko01100,map00053,map01100",-,"R02752,R08056",RC00543,"ko00000,ko00001,ko01000",-,-,-,"MR_MLE_C,MR_MLE_N"
B4U62_01565,105.77159100730978,-2.7385465527150132,0.46170814929196347,-5.9313368345666335,3.004780698858734e-9,3.432710906356867e-8,yes,yes,CP020102.1,CDS,cds-AQZ89170.1,AQZ89170.1,cwlJ,cell wall hydrolase CwlJ,down,224308.BSU02600,1.82e-102,296,"COG3773@1|root,COG3773@2|Bacteria,1V3QK@1239|Firmicutes,4HH00@91061|Bacilli,1ZGB9@1386|Bacillus",91061|Bacilli,M,Cell wall,cwlJ,-,3.5.1.28,ko:K01449,-,-,R04112,"RC00064,RC00141","ko00000,ko01000",-,-,-,Hydrolase_2
B4U62_01700,6756.194216195449,2.3324965006163914,0.3765790301437331,6.193909681391769,5.868986580664148e-10,7.367733436291376e-9,yes,yes,CP020102.1,CDS,cds-AQZ89194.1,AQZ89194.1,adcA,zinc uptake system-binding-protein ZnuA,up,224308.BSU02850,1.95e-221,611,"COG0803@1|root,COG0803@2|Bacteria,1TPG7@1239|Firmicutes,4H9UN@91061|Bacilli,1ZC2Z@1386|Bacillus",91061|Bacilli,P,Belongs to the bacterial solute-binding protein 9 family,adcA,-,-,ko:K09815,"ko02010,map02010",M00242,-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.15.3,3.A.1.15.5",-,-,"ZinT,ZnuA"
B4U62_01800,2384.2099345658366,-2.09008722489045,0.379592052004357,-5.506140641918551,3.667855442591939e-8,3.5053655025545327e-7,yes,yes,CP020102.1,CDS,cds-AQZ89212.1,AQZ89212.1,amyE,alpha-amylase,down,224308.BSU03040,0,1340,"COG0366@1|root,COG0366@2|Bacteria,1TQSE@1239|Firmicutes,4HEGR@91061|Bacilli",91061|Bacilli,G,alpha-amylase,amyE,-,3.2.1.1,ko:K01176,"ko00500,ko01100,ko04973,map00500,map01100,map04973",-,"R02108,R02112,R11262",-,"ko00000,ko00001,ko01000",-,GH13,-,"Alpha-amylase,CBM26,CBM_20,G5"
B4U62_01955,244.51589733575923,2.22667882531633,0.35082328966389786,6.347009708077174,2.195402823715837e-10,2.895065325992041e-9,yes,yes,CP020102.1,CDS,cds-AQZ89241.1,AQZ89241.1,yciA,GTP cyclohydrolase I FolE2,up,224308.BSU03340,1.0499999999999998e-222,613,"COG1469@1|root,COG1469@2|Bacteria,1TTA1@1239|Firmicutes,4H9P4@91061|Bacilli,1ZBW2@1386|Bacillus",91061|Bacilli,S,"Converts GTP to 7,8-dihydroneopterin triphosphate",folE2,-,3.5.4.16,ko:K09007,"ko00790,ko01100,map00790,map01100",M00126,"R00428,R04639,R05046,R05048","RC00263,RC00294,RC00323,RC00945,RC01188","ko00000,ko00001,ko00002,ko01000",-,-,-,GCHY-1
B4U62_01960,65.1792648282478,2.1281654558469465,0.3765928313293616,5.651104532007646,1.5942010223304316e-8,1.632403074478442e-7,yes,yes,CP020102.1,CDS,cds-AQZ89242.1,AQZ89242.1,yciB,L'D-transpeptidase,up,224308.BSU03350,2.56e-141,398,"COG1376@1|root,COG1376@2|Bacteria,1V4KP@1239|Firmicutes,4HIBF@91061|Bacilli",91061|Bacilli,M,ErfK YbiS YcfS YnhG,-,-,-,-,-,-,-,-,-,-,-,-,YkuD
B4U62_01965,93.49971121947645,3.7818751124205936,0.541941653821172,6.978380579818881,2.986018729101627e-12,5.2431425589545144e-11,yes,yes,CP020102.1,CDS,cds-AQZ89243.1,AQZ89243.1,yczL,hypothetical protein,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_02130,411.71496656977706,-2.1483548890017947,0.2569033868984727,-8.362501230280849,6.140234479692161e-17,1.8437298667399977e-15,yes,yes,CP020102.1,CDS,cds-AQZ89275.1,AQZ89275.1,yclG,hypothetical protein,down,224308.BSU03680,0,1068,"COG5434@1|root,COG5434@2|Bacteria,1V161@1239|Firmicutes,4HUBB@91061|Bacilli,1ZDR3@1386|Bacillus",91061|Bacilli,M,Pectate lyase superfamily protein,yclG,-,-,-,-,-,-,-,-,-,-,-,"Beta_helix,Pectate_lyase_3"
B4U62_02185,8875.377434494016,-5.025877957141208,0.5776537396305058,-8.700502762011016,3.3041701098632952e-18,1.129517843710191e-16,yes,yes,CP020102.1,CDS,cds-AQZ89286.1,AQZ89286.1,yczM,sporulation protein YjcZ,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_02190,11857.712990793974,-5.387607906221295,0.3613635244054244,-14.909108259019465,2.8756741931254667e-50,7.987185071405983e-48,yes,yes,CP020102.1,CDS,cds-AQZ89287.1,AQZ89287.1,yczN,sporulation protein YjcZ,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_02495,7512.984234678432,-3.700178065948818,0.3569774926239777,-10.365297931672128,3.5664530106140366e-25,2.3336327378399057e-23,yes,yes,CP020102.1,CDS,cds-AQZ89341.1,AQZ89341.1,mntH,divalent metal cation transporter,down,224308.BSU04360,3.8999999999999995e-286,784,"COG1914@1|root,COG1914@2|Bacteria,1TPT1@1239|Firmicutes,4HAEA@91061|Bacilli,1ZCHH@1386|Bacillus",91061|Bacilli,P,"H( )-stimulated, divalent metal cation uptake system",mntH,-,-,ko:K03322,-,-,-,-,"ko00000,ko02000","2.A.55.2.6,2.A.55.3",-,iYO844.BSU04360,Nramp
B4U62_02550,940.0868026596864,-2.7080319269806212,0.4629827255684012,-5.849099280445045,4.9424203856453456e-9,5.5047910260170215e-8,yes,yes,CP020102.1,CDS,cds-AQZ89351.1,AQZ89351.1,dctP,C4-dicarboxylate transporter,down,224308.BSU04470,4.43e-290,793,"COG1301@1|root,COG1301@2|Bacteria,1TPME@1239|Firmicutes,4H9T7@91061|Bacilli,1ZBKK@1386|Bacillus",91061|Bacilli,U,Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,dctA,-,-,"ko:K03309,ko:K11102,ko:K11103","ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000","2.A.23,2.A.23.1.1,2.A.23.1.2,2.A.23.1.3,2.A.23.1.6,2.A.23.1.7",-,iYO844.BSU10220,SDF
B4U62_02570,16178.349524442478,2.1458113804941332,0.22960044105396468,9.34585042887521,9.115394925590382e-21,3.9328946649828793e-19,yes,yes,CP020102.1,CDS,cds-AQZ89355.1,AQZ89355.1,ydbL,hypothetical protein,up,224308.BSU04510,2.6699999999999997e-69,209,"29RJA@1|root,30CND@2|Bacteria,1UA4S@1239|Firmicutes,4IKF0@91061|Bacilli,1ZGT1@1386|Bacillus",91061|Bacilli,-,-,ydbL,-,-,-,-,-,-,-,-,-,-,-,-
B4U62_02585,498.81053889489743,2.2268348523725123,0.497859078810351,4.472821621920805,7.719416942884774e-6,4.907738039224598e-5,yes,yes,CP020102.1,CDS,cds-AQZ89358.1,AQZ89358.1,NA,hypothetical protein,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_02665,15.018348874817713,-2.364291712949328,0.78837336747771,-2.9989492421763915,0.0027091243552680197,0.00867388230173709,yes,yes,CP020102.1,CDS,cds-AQZ89371.1,AQZ89371.1,rsbS,RsbT antagonist protein RsbS,down,224308.BSU04680,5.17e-74,222,"COG1366@1|root,COG1366@2|Bacteria,1V7FB@1239|Firmicutes,4HIQ6@91061|Bacilli,1ZGH2@1386|Bacillus",91061|Bacilli,T,antagonist,rsbS,-,-,ko:K17762,-,-,-,-,"ko00000,ko03021",-,-,-,STAS
B4U62_02730,117.49024552720847,2.186957124698782,0.5968708501327459,3.664037411464132,2.4827049814359666e-4,0.0010923901918318253,yes,yes,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_02755,392.3157565347596,2.056234313296468,0.5798975428332994,3.545857951475343,3.913370950069331e-4,0.0016437637525622028,yes,yes,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
