locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
FNPKGJ_00115,68.26836108922616,3.002786985159398,0.4779591983172913,6.282517410965298,3.331339480580192e-10,2.2546095142496524e-9,yes,yes,contig_1,CDS,FNPKGJ_00115,oxygen-dependent coproporphyrinogen oxidase,hemF,oxygen-dependent coproporphyrinogen oxidase,up,216595.PFLU_0023,8.11e-239,654,"COG0408@1|root,COG0408@2|Bacteria,1MWMF@1224|Proteobacteria,1RMM8@1236|Gammaproteobacteria,1YMJP@136843|Pseudomonas fluorescens group",1224|Proteobacteria,H,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,hemF,"GO:0003674,GO:0003824,GO:0004109,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016491,GO:0016627,GO:0016634,GO:0018130,GO:0019438,GO:0030145,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046872,GO:0046906,GO:0046914,GO:0046983,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",1.3.3.3,ko:K00228,"ko00860,ko01100,ko01110,map00860,map01100,map01110",M00121,R03220,RC00884,"ko00000,ko00001,ko00002,ko01000",-,-,"iAF1260.b2436,iBWG_1329.BWG_2198,iECDH10B_1368.ECDH10B_2601,iECDH1ME8569_1439.ECDH1ME8569_2370,iETEC_1333.ETEC_2549,iEcDH1_1363.EcDH1_1225,iEcHS_1320.EcHS_A2573,iEcolC_1368.EcolC_1243,iJO1366.b2436,iJR904.b2436,iY75_1357.Y75_RS12760",Coprogen_oxidas
FNPKGJ_00120,157.04445959815857,3.076633912404302,0.33860123033292094,9.086304587196215,1.0246241844777302e-19,1.6675894134674594e-18,yes,yes,contig_1,CDS,FNPKGJ_00120,shikimate dehydrogenase,aroE,shikimate dehydrogenase,up,216595.PFLU_0024,1.57e-192,534,"COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,1RPB7@1236|Gammaproteobacteria,1YPCG@136843|Pseudomonas fluorescens group",1224|Proteobacteria,E,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",aroE,"GO:0000003,GO:0000166,GO:0003006,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009790,GO:0009791,GO:0009793,GO:0009987,GO:0010154,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0022414,GO:0032501,GO:0032502,GO:0032787,GO:0036094,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050661,GO:0050662,GO:0055114,GO:0061458,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615",1.1.1.25,ko:K00014,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R02413,RC00206,"ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_3165,iECOK1_1307.ECOK1_3701,iECS88_1305.ECS88_3669,iECUMN_1333.ECUMN_3755,iSBO_1134.SBO_3275,iUMN146_1321.UM146_16315,iUTI89_1310.UTI89_C3726","Shikimate_DH,Shikimate_dh_N"
FNPKGJ_00150,325.0179079126297,-3.662643433422443,0.37408400802860436,-9.79096501003694,1.231151857589117e-22,2.451147646565776e-21,yes,yes,contig_1,CDS,FNPKGJ_00150,2-dehydro-3-deoxygalactonokinase,NA,2-dehydro-3-deoxygalactonokinase,down,216595.PFLU_0030,6.149999999999998e-234,643,"COG3734@1|root,COG3734@2|Bacteria,1MWGX@1224|Proteobacteria,1RYZB@1236|Gammaproteobacteria,1YNGB@136843|Pseudomonas fluorescens group",1224|Proteobacteria,G,2-keto-3-deoxy-galactonokinase,dgoK,-,2.7.1.58,ko:K00883,"ko00052,ko01100,map00052,map01100",M00552,R03387,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,DGOK
FNPKGJ_00155,100.02224655114979,-3.430318056172125,0.39231258888432774,-8.743838850360074,2.2532077033645287e-18,3.2925733470542946e-17,yes,yes,contig_1,CDS,FNPKGJ_00155,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,NA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,down,216595.PFLU_0031,4.3299999999999996e-139,394,"COG0800@1|root,COG0800@2|Bacteria,1RD0T@1224|Proteobacteria,1RQMK@1236|Gammaproteobacteria,1YPAY@136843|Pseudomonas fluorescens group",1224|Proteobacteria,G,KDPG and KHG aldolase,dgoA,-,4.1.2.21,ko:K01631,"ko00052,ko01100,map00052,map01100",M00552,R01064,"RC00307,RC00435","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldolase
FNPKGJ_00195,1171.2619008337374,2.2910811117006076,0.2891416811936144,7.923731722948858,2.304866256495071e-15,2.6209865452786834e-14,yes,yes,contig_1,CDS,FNPKGJ_00195,DUF883 domain-containing protein,NA,DUF883 domain-containing protein,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FNPKGJ_00200,985.3685166005288,2.1738726565776583,0.24363855060814196,8.922531558127778,4.557489782331669e-19,7.098146111621374e-18,yes,yes,contig_1,CDS,FNPKGJ_00200,dodecin flavoprotein,NA,dodecin flavoprotein,up,216595.PFLU_0039,1.3e-44,144,"COG3360@1|root,COG3360@2|Bacteria,1N6UT@1224|Proteobacteria,1SCF7@1236|Gammaproteobacteria,1YQS9@136843|Pseudomonas fluorescens group",1224|Proteobacteria,S,Dodecin,-,-,-,ko:K09165,-,-,-,-,ko00000,-,-,-,Dodecin
FNPKGJ_00205,4443.314440321565,3.837493209174153,0.2826760066640298,13.575588725983193,5.589279359034771e-42,3.2135744501665335e-40,yes,yes,contig_1,CDS,FNPKGJ_00205,DUF1161 domain-containing protein,NA,DUF1161 domain-containing protein,up,216595.PFLU_0040,1.17e-42,139,"2EGJ5@1|root,33ABC@2|Bacteria,1NI51@1224|Proteobacteria,1SH35@1236|Gammaproteobacteria",1224|Proteobacteria,S,Protein of unknown function (DUF1161),-,-,-,-,-,-,-,-,-,-,-,-,DUF1161
FNPKGJ_00210,1287.584938544354,-2.174845270829603,0.14413149044832152,-15.089313682004807,1.9041260306421417e-51,1.6734547629300651e-49,yes,yes,contig_1,CDS,FNPKGJ_00210,LLM class flavin-dependent oxidoreductase,NA,LLM class flavin-dependent oxidoreductase,down,216595.PFLU_0041,7.559999999999999e-242,664,"COG2141@1|root,COG2141@2|Bacteria,1MVF0@1224|Proteobacteria,1RMCE@1236|Gammaproteobacteria,1YMDB@136843|Pseudomonas fluorescens group",1224|Proteobacteria,C,Luciferase-like monooxygenase,yhbW,-,-,-,-,-,-,-,-,-,-,-,Bac_luciferase
FNPKGJ_00215,2293.8080675074216,3.9681481828971963,0.3214971350210836,12.342717090268836,5.332543741773343e-35,2.2017321543214497e-33,yes,yes,contig_1,CDS,FNPKGJ_00215,OsmC family peroxiredoxin,NA,OsmC family peroxiredoxin,up,216595.PFLU_0042,1.2299999999999998e-96,281,"COG1764@1|root,COG1764@2|Bacteria,1RH9U@1224|Proteobacteria,1S205@1236|Gammaproteobacteria,1YQ7E@136843|Pseudomonas fluorescens group",1224|Proteobacteria,O,Peroxiredoxin,osmC,"GO:0003674,GO:0003824,GO:0004601,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006970,GO:0006972,GO:0006979,GO:0008150,GO:0008152,GO:0009628,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0033194,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0051920,GO:0055114,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1990748",-,ko:K04063,-,-,-,-,ko00000,-,-,-,OsmC
FNPKGJ_00275,1219.7598655486313,-5.600985906147192,0.2583773473190932,-21.677542417176518,3.3425769291888244e-104,2.570441658546206e-101,yes,yes,contig_1,CDS,FNPKGJ_00275,radical SAM protein,NA,radical SAM protein,down,216595.PFLU_0054,1.6299999999999999e-257,705,"COG1533@1|root,COG1533@2|Bacteria,1MW0H@1224|Proteobacteria,1RQNF@1236|Gammaproteobacteria,1YN7B@136843|Pseudomonas fluorescens group",1224|Proteobacteria,L,Radical SAM,MA20_42330,-,-,-,-,-,-,-,-,-,-,-,Radical_SAM
