locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00110,1268.7625542861765,2.767533965664659,0.36168175463044605,7.65184842816423,1.981106732177448e-14,3.3097888412769095e-13,yes,yes,CP020102.1,CDS,cds-AQZ88929.1,AQZ88929.1,yaaH,germination protein,up,224308.BSU00160,3.13e-277,761,"COG1388@1|root,COG3858@1|root,COG1388@2|Bacteria,COG3858@2|Bacteria,1TQK2@1239|Firmicutes,4HBJC@91061|Bacilli,1ZBQC@1386|Bacillus",91061|Bacilli,M,Glycoside Hydrolase Family,yaaH,-,-,ko:K06306,-,-,-,-,ko00000,-,-,-,"Glyco_hydro_18,LysM"
B4U62_00150,133.58114007562494,2.7540363196133075,0.2536042717895741,10.859581741976509,1.795697713653201e-27,8.400084883657711e-26,yes,yes,CP020102.1,CDS,cds-AQZ88936.1,AQZ88936.1,bofA,sigma-K factor-processing regulatory protein BofA,up,224308.BSU00230,5.2999999999999995e-49,156,"2E9CH@1|root,333K6@2|Bacteria,1VG2H@1239|Firmicutes,4HNZC@91061|Bacilli,1ZIUF@1386|Bacillus",91061|Bacilli,S,Sigma-K factor-processing regulatory protein BofA,bofA,-,-,ko:K06317,-,-,-,-,ko00000,-,-,-,BofA
B4U62_00180,29.651712157551046,2.3247245809651695,0.4859839412822477,4.783541972254235,1.7223290653347102e-6,1.2053591128106225e-5,yes,yes,CP020102.1,CDS,cds-AQZ88937.1,AQZ88937.1,csfB,protein CsfB,up,224308.BSU00240,2.21e-42,138,"2EIS2@1|root,33CHE@2|Bacteria,1VM34@1239|Firmicutes,4HR6Z@91061|Bacilli,1ZK09@1386|Bacillus",91061|Bacilli,S,Inhibitor of sigma-G Gin,csfB,-,-,-,-,-,-,-,-,-,-,-,Gin
B4U62_00275,653.0587728493489,3.17492441909154,0.2951825863521909,10.755798498572153,5.564993252035331e-27,2.523554082861736e-25,yes,yes,CP020102.1,CDS,cds-AQZ88956.1,AQZ88956.1,yabG,sporulation-specific protease YabG,up,224308.BSU00430,3.7e-200,555,"28HCB@1|root,2Z7P7@2|Bacteria,1TNZK@1239|Firmicutes,4HBET@91061|Bacilli,1ZCTC@1386|Bacillus",91061|Bacilli,S,peptidase,yabG,"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0031160,GO:0043591,GO:0043593,GO:0044426,GO:0044462,GO:0044464,GO:0071944",-,ko:K06436,-,-,-,-,ko00000,-,-,-,Peptidase_U57
B4U62_00285,632.7459529513393,3.006556379864385,0.362180135002891,8.301273563334407,1.0300121409521564e-16,2.1797018830435157e-15,yes,yes,CP020102.1,CDS,cds-AQZ88958.1,AQZ88958.1,sspF,protein sspF,up,224308.BSU00450,1.14e-36,123,"2E2ZT@1|root,32Y0E@2|Bacteria,1VEHE@1239|Firmicutes,4HNK8@91061|Bacilli,1ZITS@1386|Bacillus",91061|Bacilli,S,DNA topological change,sspF,-,-,ko:K06423,-,-,-,-,ko00000,-,-,-,SASP
B4U62_00360,119.03488006540957,2.2918600777143223,0.36220284236761535,6.327559614753698,2.490687591606516e-10,2.693093833844126e-9,yes,yes,CP020102.1,CDS,cds-AQZ88973.1,AQZ88973.1,yabP,spore protein YabP,up,224308.BSU00600,1.91e-66,201,"2E3ZZ@1|root,32YWW@2|Bacteria,1VEIW@1239|Firmicutes,4HPDE@91061|Bacilli,1ZGYU@1386|Bacillus",91061|Bacilli,S,Sporulation protein YabP,yabP,"GO:0005575,GO:0005623,GO:0042601,GO:0042763,GO:0044464",-,-,-,-,-,-,-,-,-,-,YabP
B4U62_00610,300.5727026093701,2.2062296986173626,0.3848453405951584,5.7327696762690605,9.880376300778247e-9,9.185856125660781e-8,yes,yes,CP020102.1,CDS,cds-AQZ89006.1,AQZ89006.1,NA,hypothetical protein,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_01210,697.1071434226895,2.1659726549750293,0.47512935587502336,4.558700968888902,5.147099639744869e-6,3.373703657673481e-5,yes,yes,CP020102.1,CDS,cds-AQZ89104.1,AQZ89104.1,skfA,sporulation killing factor,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_01565,105.77159100730978,2.6357676575765754,0.3619437416116678,7.282257860959261,3.282788191836464e-13,4.682820735484231e-12,yes,yes,CP020102.1,CDS,cds-AQZ89170.1,AQZ89170.1,cwlJ,cell wall hydrolase CwlJ,up,224308.BSU02600,1.82e-102,296,"COG3773@1|root,COG3773@2|Bacteria,1V3QK@1239|Firmicutes,4HH00@91061|Bacilli,1ZGB9@1386|Bacillus",91061|Bacilli,M,Cell wall,cwlJ,-,3.5.1.28,ko:K01449,-,-,R04112,"RC00064,RC00141","ko00000,ko01000",-,-,-,Hydrolase_2
B4U62_01635,301.52288078098155,2.1430973876587185,0.2634520522788983,8.134677141895903,4.130376162283959e-16,8.231117338650186e-15,yes,yes,CP020102.1,CDS,cds-AQZ89183.1,AQZ89183.1,natK,sensor histidine kinase,up,224308.BSU02730,2.7399999999999997e-216,598,"COG3290@1|root,COG3290@2|Bacteria,1VK8U@1239|Firmicutes,4HR8P@91061|Bacilli,1ZEI5@1386|Bacillus",91061|Bacilli,T,GHKL domain,natK,-,2.7.13.3,ko:K11640,"ko02020,map02020",M00494,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c_5,SPOB_a"
