locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00015,71.43182052924996,2.1329180138293404,0.402745568292899,5.295944094108973,1.1840306165375747e-7,3.977197324182148e-7,yes,yes,CP020102.1,CDS,cds-AQZ88916.1,AQZ88916.1,yaaA,hypothetical protein,up,224308.BSU00030,2.24e-45,146,"COG2501@1|root,COG2501@2|Bacteria,1VEJ2@1239|Firmicutes,4HNMC@91061|Bacilli,1ZIXZ@1386|Bacillus",91061|Bacilli,S,S4 domain,yaaA,-,-,ko:K14761,-,-,-,-,"ko00000,ko03009",-,-,-,S4_2
B4U62_00095,471.5367128080706,4.288176262863846,0.9519997698313398,4.504387919782331,6.656451742931976e-6,1.840776076265694e-5,yes,yes,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00110,1268.7625542861765,-4.691046923267664,0.36857634433082376,-12.727476940454736,4.160679823097105e-37,6.822900787396138e-36,yes,yes,CP020102.1,CDS,cds-AQZ88929.1,AQZ88929.1,yaaH,germination protein,down,224308.BSU00160,3.13e-277,761,"COG1388@1|root,COG3858@1|root,COG1388@2|Bacteria,COG3858@2|Bacteria,1TQK2@1239|Firmicutes,4HBJC@91061|Bacilli,1ZBQC@1386|Bacillus",91061|Bacilli,M,Glycoside Hydrolase Family,yaaH,-,-,ko:K06306,-,-,-,-,ko00000,-,-,-,"Glyco_hydro_18,LysM"
B4U62_00150,133.58114007562494,-4.401575600021369,0.32227069880050907,-13.658007434135417,1.8086528914291705e-42,3.773546220427809e-41,yes,yes,CP020102.1,CDS,cds-AQZ88936.1,AQZ88936.1,bofA,sigma-K factor-processing regulatory protein BofA,down,224308.BSU00230,5.2999999999999995e-49,156,"2E9CH@1|root,333K6@2|Bacteria,1VG2H@1239|Firmicutes,4HNZC@91061|Bacilli,1ZIUF@1386|Bacillus",91061|Bacilli,S,Sigma-K factor-processing regulatory protein BofA,bofA,-,-,ko:K06317,-,-,-,-,ko00000,-,-,-,BofA
B4U62_00155,419.6213733530941,-2.383658889373876,0.4428236745098298,-5.382862359408391,7.331059654367531e-8,2.5294432534168717e-7,yes,yes,NA,NA,NA,NA,NA,NA,down,1196031.ALEG01000035_gene864,3.62e-14,65.1,"29TAG@1|root,30EHH@2|Bacteria,1UCJJ@1239|Firmicutes,4IP1R@91061|Bacilli,1ZP94@1386|Bacillus",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B4U62_00170,3322.3333179531123,-2.3099652971749776,0.5257987974618772,-4.393249486924627,1.1166885144012103e-5,2.985898771359193e-5,yes,yes,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00180,29.651712157551046,-3.9588288509385112,0.6209945942728835,-6.374981179302962,1.8298542162858465e-10,8.051358551657725e-10,yes,yes,CP020102.1,CDS,cds-AQZ88937.1,AQZ88937.1,csfB,protein CsfB,down,224308.BSU00240,2.21e-42,138,"2EIS2@1|root,33CHE@2|Bacteria,1VM34@1239|Firmicutes,4HR6Z@91061|Bacilli,1ZK09@1386|Bacillus",91061|Bacilli,S,Inhibitor of sigma-G Gin,csfB,-,-,-,-,-,-,-,-,-,-,-,Gin
B4U62_00245,18077.16066335387,2.351591069855056,0.37034528802601346,6.349725906840423,2.1569889711353873e-10,9.425426733260238e-10,yes,yes,CP020102.1,CDS,cds-AQZ88950.1,AQZ88950.1,abrB,transition state regulatory protein AbrB,up,224308.BSU00370,3.65e-60,185,"COG2002@1|root,COG2002@2|Bacteria,1VA3H@1239|Firmicutes,4HKCH@91061|Bacilli,1ZH0F@1386|Bacillus",91061|Bacilli,K,COG2002 Regulators of stationary sporulation gene expression,abrB,"GO:0003674,GO:0005488,GO:0005515,GO:0008150,GO:0042802,GO:0043937,GO:0050789,GO:0050793,GO:0065007",-,ko:K06284,-,-,-,-,"ko00000,ko03000",-,-,-,MazE_antitoxin
B4U62_00275,653.0587728493489,-7.334376407254909,0.38815017179328337,-18.89571856523863,1.2369197076083271e-79,9.81584139394894e-78,yes,yes,CP020102.1,CDS,cds-AQZ88956.1,AQZ88956.1,yabG,sporulation-specific protease YabG,down,224308.BSU00430,3.7e-200,555,"28HCB@1|root,2Z7P7@2|Bacteria,1TNZK@1239|Firmicutes,4HBET@91061|Bacilli,1ZCTC@1386|Bacillus",91061|Bacilli,S,peptidase,yabG,"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0031160,GO:0043591,GO:0043593,GO:0044426,GO:0044462,GO:0044464,GO:0071944",-,ko:K06436,-,-,-,-,ko00000,-,-,-,Peptidase_U57
B4U62_00285,632.7459529513393,-4.351999951198156,0.37380433177216094,-11.642454571261528,2.506952440275957e-31,3.308033289817626e-30,yes,yes,CP020102.1,CDS,cds-AQZ88958.1,AQZ88958.1,sspF,protein sspF,down,224308.BSU00450,1.14e-36,123,"2E2ZT@1|root,32Y0E@2|Bacteria,1VEHE@1239|Firmicutes,4HNK8@91061|Bacilli,1ZITS@1386|Bacillus",91061|Bacilli,S,DNA topological change,sspF,-,-,ko:K06423,-,-,-,-,ko00000,-,-,-,SASP
