target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1068.84	578	8.00212
gene-B4U62_00010	1137	864.838	492	8.41821
gene-B4U62_00015	216	44.7461	85	28.1095
gene-B4U62_00020	1113	840.838	6047	106.418
gene-B4U62_00025	246	52.1817	93	26.3727
gene-B4U62_00030	1917	1644.84	2922	26.2873
gene-B4U62_00035	2466	2193.84	3635	24.5182
rna-B4U62_00040	1556	1283.84	2292.78	26.4266
rna-B4U62_00045	77	17.2857	0.521739	0.446638
rna-B4U62_00050	76	17.3478	39.336	33.5532
rna-B4U62_00055	2933	2660.84	7474.23	41.5659
rna-B4U62_00060	116	18.4227	3.55556	2.8559
gene-B4U62_00065	948	675.838	70	1.53266
gene-B4U62_00070	1467	1194.84	3638	45.055
gene-B4U62_00075	1332	1059.84	4142	57.8309
gene-B4U62_00080	885	612.838	1443	34.8425
gene-B4U62_00085	591	318.852	1368	63.4872
gene-B4U62_00090	1278	1005.84	786	11.5634
rna-B4U62_00095	93	16.8504	708.902	622.537
gene-B4U62_00100	654	381.852	625	24.22
gene-B4U62_00105	624	351.852	543	22.8365
gene-B4U62_00110	1284	1011.84	139	2.03279
gene-B4U62_00115	546	273.871	254	13.7239
gene-B4U62_00120	486	214.07	341	23.5715
rna-B4U62_00125	265	57.0587	33959	8806.88
gene-B4U62_00130	1692	1419.84	935	9.74456
gene-B4U62_00135	324	75.0173	290	57.204
gene-B4U62_00140	597	324.852	159	7.2427
gene-B4U62_00145	225	46.9895	41	12.9114
gene-B4U62_00150	264	56.7515	22	5.73633
rna-B4U62_00155	1554	1281.84	230.465	2.66048
rna-B4U62_00160	77	17.2857	0.521739	0.446638
rna-B4U62_00165	76	17.3478	39.336	33.5532
rna-B4U62_00170	2933	2660.84	1520.7	8.45696
rna-B4U62_00175	116	18.4227	3.55556	2.8559
gene-B4U62_00180	195	39.3867	5	1.87849
gene-B4U62_00185	615	342.852	944	40.7431
gene-B4U62_00190	1161	888.838	1388	23.1077
gene-B4U62_00195	1443	1170.84	1536	19.4126
gene-B4U62_00200	639	366.852	302	12.1816
