locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00005,527.4937160694752,0.4344860365188755,0.4095375387770058,1.0609187080050657,0.2887268464853444,0.4395790555296734,no,no,CP020102.1,CDS,cds-AQZ88914.1,AQZ88914.1,dnaA,chromosomal replication initiator protein DnaA,up,224308.BSU00010,0,877,"COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,1ZBKI@1386|Bacillus",91061|Bacilli,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",-,ko:K02313,"ko02020,ko04112,map02020,map04112",-,-,-,"ko00000,ko00001,ko03032,ko03036",-,-,-,"Bac_DnaA,Bac_DnaA_C,DnaA_N"
B4U62_00010,507.75260493075024,0.7235381214914206,0.14740301970141692,4.908570550026972,9.174262642065024e-7,8.566654364670833e-6,yes,no,CP020102.1,CDS,cds-AQZ88915.1,AQZ88915.1,dnaN,DNA polymerase III subunit beta,up,224308.BSU00020,1.7099999999999998e-263,723,"COG0592@1|root,COG0592@2|Bacteria,1TQ7J@1239|Firmicutes,4H9TF@91061|Bacilli,1ZAVV@1386|Bacillus",91061|Bacilli,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,-,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_beta,DNA_pol3_beta_3"
B4U62_00015,71.43182052924996,0.36400896381137543,0.38103009144724076,0.9553286524662261,0.33941152219148707,0.4931104059747188,no,no,CP020102.1,CDS,cds-AQZ88916.1,AQZ88916.1,yaaA,hypothetical protein,up,224308.BSU00030,2.24e-45,146,"COG2501@1|root,COG2501@2|Bacteria,1VEJ2@1239|Firmicutes,4HNMC@91061|Bacilli,1ZIXZ@1386|Bacillus",91061|Bacilli,S,S4 domain,yaaA,-,-,ko:K14761,-,-,-,-,"ko00000,ko03009",-,-,-,S4_2
B4U62_00020,5068.342000040582,-0.1856209679744831,0.13988325395189274,-1.326970618215101,0.18451840220801788,0.31638987737911606,no,no,CP020102.1,CDS,cds-AQZ88917.1,AQZ88917.1,recF,DNA replication and repair protein RecF,down,224308.BSU00040,1.3e-263,722,"COG1195@1|root,COG1195@2|Bacteria,1TP9U@1239|Firmicutes,4HA0W@91061|Bacilli,1ZC8V@1386|Bacillus",91061|Bacilli,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,"GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009987,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:1901360,GO:1901362,GO:1901576",-,ko:K03629,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,SMC_N
B4U62_00025,123.02295523180142,0.5067350407834917,0.273182835156843,1.8549300159820032,0.06360622100742302,0.1377397141795935,no,no,CP020102.1,CDS,cds-AQZ88918.1,AQZ88918.1,yaaB,DUF370 domain-containing protein,up,224308.BSU00050,2.52e-51,162,"2E36Q@1|root,32Y6E@2|Bacteria,1VEZV@1239|Firmicutes,4HQTK@91061|Bacilli,1ZIZ5@1386|Bacillus",91061|Bacilli,S,Domain of unknown function (DUF370),yaaB,-,-,-,-,-,-,-,-,-,-,-,DUF370
B4U62_00030,3271.6820764934823,0.14427239267483882,0.26190567854813857,0.5508562986285973,0.5817321872257241,0.7141750182424569,no,no,CP020102.1,CDS,cds-AQZ88919.1,AQZ88919.1,gyrB,DNA gyrase subunit B,up,224308.BSU00060,0,1258,"COG0187@1|root,COG0187@2|Bacteria,1TQ0R@1239|Firmicutes,4H9Y6@91061|Bacilli,1ZBFI@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrB,"GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360",5.99.1.3,ko:K02470,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
B4U62_00035,3530.25770909844,0.06584919681206963,0.1883067011764684,0.3496912027063773,0.7265704565761677,0.8267993128600956,no,no,CP020102.1,CDS,cds-AQZ88920.1,AQZ88920.1,gyrA,DNA gyrase subunit A,up,224308.BSU00070,0,1439,"COG0188@1|root,COG0188@2|Bacteria,1TP2Z@1239|Firmicutes,4HAHY@91061|Bacilli,1ZB8F@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrA,-,5.99.1.3,ko:K02469,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseA_C,DNA_topoisoIV"
B4U62_00040,4473.482719653484,-0.06881021014333337,0.4713937590768748,-0.14597183101889946,0.8839436257951812,0.9318515309919198,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00045,1.0212011036820967,-1.788219703725506,1.8222278419396585,-0.9813370548778617,0.32642655539721843,NA,NA,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00050,30.027512038586487,-0.3226507527631533,0.5026913905052627,-0.6418465859119891,0.5209727983840797,0.6611938486919415,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00055,11966.943617211482,-0.9669643392833397,0.47635438601879465,-2.029926390234156,0.0423640221153718,0.09993505379354353,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00060,2.4029256589234596,0.7822125770769531,1.1283786239670317,0.6932181809036179,0.4881726402303513,0.633825980805358,no,no,NA,NA,NA,NA,NA,NA,up,1403313.AXBR01000002_gene4500,5.56e-19,77.4,"2DR8Z@1|root,33AQV@2|Bacteria,1VK7N@1239|Firmicutes,4HRWZ@91061|Bacilli,1ZISI@1386|Bacillus",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B4U62_00065,92.564684805288735,-0.4582628910702562,0.5107105641585676,-0.8973045071532391,0.3695564520982862,0.526711632905539,no,no,CP020102.1,CDS,cds-AQZ88921.1,AQZ88921.1,yaaC,hypothetical protein,down,224308.BSU00080,4.4999999999999995e-234,643,"28JUG@1|root,2Z9JI@2|Bacteria,1UYYT@1239|Firmicutes,4HC3E@91061|Bacilli,1ZBYK@1386|Bacillus",91061|Bacilli,S,YaaC-like Protein,yaaC,-,-,-,-,-,-,-,-,-,-,-,YaaC
B4U62_00070,2846.878595133294,-0.19061702302289255,0.1789654731997994,-1.06510501503318,0.28682841008312177,0.4375740135616812,no,no,CP020102.1,CDS,cds-AQZ88922.1,AQZ88922.1,guaB,IMP dehydrogenase,down,224308.BSU00090,0,946,"COG0516@1|root,COG0517@1|root,COG0516@2|Bacteria,COG0517@2|Bacteria,1TNZ1@1239|Firmicutes,4H9V3@91061|Bacilli,1ZC91@1386|Bacillus",91061|Bacilli,F,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth",guaB,"GO:0003674,GO:0003824,GO:0003938,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006183,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009163,GO:0009165,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046039,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",1.1.1.205,ko:K00088,"ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110",M00050,"R01130,R08240","RC00143,RC02207","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"CBS,IMPDH"
