target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1088.6	482	10.7762
gene-B4U62_00010	1137	884.603	469	12.9037
gene-B4U62_00015	216	51.7964	89	41.8196
gene-B4U62_00020	1113	860.603	6648	188.008
gene-B4U62_00025	246	60.4326	270	108.738
gene-B4U62_00030	1917	1664.6	5367	78.4712
gene-B4U62_00035	2466	2213.6	5880	64.6497
rna-B4U62_00040	1556	1303.6	8983.55	167.723
rna-B4U62_00045	77	18.3874	3.13043	4.14356
rna-B4U62_00050	76	18.5577	22.5	29.5085
rna-B4U62_00055	2933	2680.6	27994.9	254.177
rna-B4U62_00060	116	18.9612	0.777778	0.998341
gene-B4U62_00065	948	695.603	219	7.66252
gene-B4U62_00070	1467	1214.6	5009	100.37
gene-B4U62_00075	1332	1079.6	2253	50.7909
gene-B4U62_00080	885	632.603	1632	62.7882
gene-B4U62_00085	591	338.615	922	66.2696
gene-B4U62_00090	1278	1025.6	420	9.96688
rna-B4U62_00095	93	16.7267	151.574	220.548
gene-B4U62_00100	654	401.603	350	21.2109
gene-B4U62_00105	624	371.603	223	14.6054
gene-B4U62_00110	1284	1031.6	1072	25.2913
gene-B4U62_00115	546	293.656	745	61.7457
gene-B4U62_00120	486	233.861	339	35.2802
rna-B4U62_00125	265	66.0748	28958	10666.5
gene-B4U62_00130	1692	1439.6	911	15.4016
gene-B4U62_00135	324	91.2874	609	162.366
gene-B4U62_00140	597	344.615	194	13.7011
gene-B4U62_00145	225	53.8888	112	50.5835
gene-B4U62_00150	264	65.8506	91	33.6334
rna-B4U62_00155	1554	1301.6	959.431	17.9401
rna-B4U62_00160	77	18.3874	3.13043	4.14356
rna-B4U62_00165	76	18.5577	22.5	29.5085
rna-B4U62_00170	2933	2680.6	9356.95	84.9554
rna-B4U62_00175	116	18.9612	0.777778	0.998341
gene-B4U62_00180	195	46.3956	35	18.3603
gene-B4U62_00185	615	362.603	836	56.113
gene-B4U62_00190	1161	908.603	1324	35.4652
gene-B4U62_00195	1443	1190.6	2214	45.2585
gene-B4U62_00200	639	386.603	660	41.5497
gene-B4U62_00205	330	94.8072	579	148.637
gene-B4U62_00210	441	189.431	660	84.7971
gene-B4U62_00215	990	737.603	1906	62.8911
gene-B4U62_00220	828	575.603	2134	90.232
gene-B4U62_00225	360	116.273	715	149.663
gene-B4U62_00230	744	491.603	104	5.14882
gene-B4U62_00235	300	78.956	11	3.39076
gene-B4U62_00240	879	626.603	169	6.56422
gene-B4U62_00245	291	75.1057	10489	3398.99
gene-B4U62_00250	1995	1742.6	1381	19.2879
gene-B4U62_00255	768	515.603	97	4.57873
gene-B4U62_00260	1314	1061.6	8649	198.286
gene-B4U62_00265	561	308.636	219	17.2698
gene-B4U62_00270	879	626.603	676	26.2569
