target_id	length	eff_length	est_counts	tpm
gene-B4U62_00005	1341	1073.19	210	2.53555
gene-B4U62_00010	1137	869.192	409	6.09732
gene-B4U62_00015	216	42.3634	7	2.14111
gene-B4U62_00020	1113	845.192	4482	68.7144
gene-B4U62_00025	246	47.9432	127	34.3247
gene-B4U62_00030	1917	1649.19	4984	39.1596
gene-B4U62_00035	2466	2198.19	3870	22.8127
rna-B4U62_00040	1556	1288.19	15248.5	153.384
rna-B4U62_00045	77	26.4651	1	0.489618
rna-B4U62_00050	76	26.0714	3.5	1.73954
rna-B4U62_00055	2933	2665.19	35147.3	170.881
rna-B4U62_00060	116	20.6213	0.111111	0.0698187
gene-B4U62_00065	948	680.192	37	0.704857
gene-B4U62_00070	1467	1199.19	2053	22.1836
gene-B4U62_00075	1332	1064.19	579	7.05001
gene-B4U62_00080	885	617.192	886	18.6014
gene-B4U62_00085	591	323.192	790	31.6736
gene-B4U62_00090	1278	1010.19	1037	13.3017
rna-B4U62_00095	93	21.6818	22.5	13.4468
gene-B4U62_00100	654	386.192	67	2.24803
gene-B4U62_00105	624	356.192	40	1.45515
gene-B4U62_00110	1284	1016.19	5554	70.8209
gene-B4U62_00115	546	278.231	134	6.24065
gene-B4U62_00120	486	218.337	67	3.9763
rna-B4U62_00125	265	52.8811	17887	4382.97
gene-B4U62_00130	1692	1424.19	428	3.89409
gene-B4U62_00135	324	75.3027	151	25.9835
gene-B4U62_00140	597	329.192	174	6.84906
gene-B4U62_00145	225	44.1629	115	33.7421
gene-B4U62_00150	264	52.5938	333	82.0429
rna-B4U62_00155	1554	1286.19	1377.22	13.8748
rna-B4U62_00160	77	26.4651	1	0.489618
rna-B4U62_00165	76	26.0714	3.5	1.73954
rna-B4U62_00170	2933	2665.19	10250	49.8343
rna-B4U62_00175	116	20.6213	0.111111	0.0698187
gene-B4U62_00180	195	37.5691	50	17.2453
gene-B4U62_00185	615	347.192	802	29.932
gene-B4U62_00190	1161	893.192	1827	26.5048
gene-B4U62_00195	1443	1175.19	1625	17.9174
gene-B4U62_00200	639	371.192	324	11.3104
gene-B4U62_00205	330	78.5671	285	47.0041
gene-B4U62_00210	441	173.903	507	37.7775
gene-B4U62_00215	990	722.192	536	9.61708
gene-B4U62_00220	828	560.192	395	9.13674
gene-B4U62_00225	360	99.4372	166	21.6317
gene-B4U62_00230	744	476.192	47	1.27893
gene-B4U62_00235	300	64.1219	0	0
gene-B4U62_00240	879	611.192	101	2.14129
gene-B4U62_00245	291	60.6037	11541	2467.6
gene-B4U62_00250	1995	1727.19	1182	8.86764
