Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_14870,,IS481 family transposase,17,17,1.0,6,1,,,,1143,1143,1143.0,0_refound_3387,1_refound_7533,2_refound_11791,3_refound_15868,4_refound_19914,5_refound_24137,DILMCD_29035,7_refound_32342,8_refound_36476,9_refound_40598,10_refound_44780,11_refound_49020,CELEIN_12695,13_refound_57443,14_refound_61533,15_refound_65770,16_refound_68609
group_14860,,Haemagg-act domain-containing protein,17,17,1.0,3,2,,,,3519,3519,3519.0,0_refound_2671,1_refound_6779,2_refound_11060,3_refound_15137,4_refound_19121,5_refound_23411,6_refound_27578,7_refound_31574,8_refound_35664,9_refound_39823,10_refound_43980,11_refound_48218,12_refound_52543,13_refound_56630,OFJEOJ_21595,15_refound_65019,16_refound_68228
group_14857,,Glycine zipper 2TM domain-containing protein,17,17,1.0,1,16679,,,,483,495,486.75,AEKEPN_01155,HMDFDK_14200,DGIGOC_16640,OELDID_14890,NDFCFG_28565,NFOGGK_02435,DILMCD_02230,CJMOAC_21820,GGGPIC_02310,KLDNLM_03000,KAGCPN_02530,NDMAAC_02525,CELEIN_01330,FNPKGJ_01415,OFJEOJ_28750,OGPOLJ_01405,16_refound_69188
group_14852,,Efflux RND transporter periplasmic adaptor subunit;efflux RND transporter periplasmic adaptor subunit,17,17,1.0,1,16673,,,,1089,1182,1115.6470588235295,AEKEPN_05835,HMDFDK_10220,DGIGOC_12385,OELDID_19145,NDFCFG_24355,NFOGGK_06690,DILMCD_23980,CJMOAC_18855,GGGPIC_07175,KLDNLM_24210,KAGCPN_06520,NDMAAC_06510,CELEIN_05690,FNPKGJ_06625,OFJEOJ_24640,OGPOLJ_06285,MOKLEP_04360
group_14850,,Transposase,17,17,1.0,1,16671,,,,1149,1149,1149.0,0_refound_2515,1_refound_6623,2_refound_10890,3_refound_14966,4_refound_18979,5_refound_23246,6_refound_27414,7_refound_31392,8_refound_35518,9_refound_39682,10_refound_43837,11_refound_48073,12_refound_52376,FNPKGJ_30645,14_refound_60779,15_refound_64865,16_refound_68165
oscA,oscA,sulfur starvation response protein OscA,17,17,1.0,1,16670,,,,183,195,183.7058823529412,AEKEPN_00820,HMDFDK_14580,DGIGOC_17040,OELDID_14490,NDFCFG_28880,NFOGGK_02035,DILMCD_02675,CJMOAC_21295,GGGPIC_01925,KLDNLM_02680,KAGCPN_01930,NDMAAC_01930,CELEIN_00885,FNPKGJ_00980,OFJEOJ_29220,OGPOLJ_00970,MOKLEP_01370
group_14846,pntA;,NAD(P)(+) transhydrogenase,17,17,1.0,1,16666,,,,324,351,327.1764705882353,AEKEPN_00535,HMDFDK_14950,DGIGOC_17375,OELDID_14155,NDFCFG_00030,NFOGGK_01700,DILMCD_03055,CJMOAC_00105,GGGPIC_01450,KLDNLM_00480,KAGCPN_01740,NDMAAC_01735,CELEIN_00580,FNPKGJ_00560,OFJEOJ_29650,OGPOLJ_00555,MOKLEP_01795
group_14844,,LacI family transcriptional regulator;ABC transporter substrate-binding protein,17,17,1.0,1,16664,,,,987,1197,1100.5384615384614,AEKEPN_17505,HMDFDK_25715,DGIGOC_05445,OELDID_26085,NDFCFG_17060,NFOGGK_13625,DILMCD_16575,CJMOAC_24055,8_refound_36925,KLDNLM_18345,KAGCPN_11650,NDMAAC_11645,CELEIN_16430,13_refound_57827,OFJEOJ_12335,15_refound_66151,16_refound_69183
group_14842,,iron ABC transporter substrate-binding protein,17,17,1.0,1,16662,,,,1005,1005,1005.0,AEKEPN_30335,HMDFDK_16600,DGIGOC_19480,OELDID_12050,NDFCFG_01700,NFOGGK_28245,DILMCD_05050,CJMOAC_02110,GGGPIC_27030,KLDNLM_28605,KAGCPN_28525,NDMAAC_28520,CELEIN_28280,FNPKGJ_29735,OFJEOJ_01295,OGPOLJ_29495,MOKLEP_09475
ltaE,ltaE,low-specificity L-threonine aldolase,17,17,1.0,1,16661,,,,1005,1005,1005.0,AEKEPN_24465,HMDFDK_09100,DGIGOC_10840,OELDID_20690,NDFCFG_23795,NFOGGK_08235,DILMCD_11130,CJMOAC_08895,GGGPIC_21370,KLDNLM_22650,KAGCPN_22365,NDMAAC_22370,CELEIN_21960,FNPKGJ_23950,OFJEOJ_08300,OGPOLJ_23705,16_refound_66913
group_14841,,hypothetical protein,17,17,1.0,1,16660,,,,285,321,291.54545454545456,0_refound_3800,1_refound_8029,DGIGOC_17715,OELDID_13815,4_refound_20385,NFOGGK_01360,DILMCD_03400,CJMOAC_00225,GGGPIC_01345,9_refound_41023,KAGCPN_01185,NDMAAC_01180,CELEIN_00230,FNPKGJ_00450,14_refound_61942,OGPOLJ_00445,16_refound_69180
group_14838,,TerC/Alx family metal homeostasis membrane protein,17,17,1.0,1,16657,,,,1008,1008,1008.0,0_refound_2801,1_refound_6898,2_refound_11191,3_refound_15269,4_refound_19249,5_refound_23542,6_refound_27714,7_refound_31706,8_refound_35792,9_refound_39951,10_refound_44117,11_refound_48358,12_refound_52683,13_refound_56787,14_refound_60877,15_refound_65106,MOKLEP_02765
group_14837,,EamA family transporter,17,17,1.0,1,16656,,,,957,978,968.8125,AEKEPN_23555,HMDFDK_22895,DGIGOC_26605,OELDID_04925,NDFCFG_22665,NFOGGK_21130,DILMCD_12225,CJMOAC_09810,GGGPIC_19255,KLDNLM_21525,KAGCPN_09235,NDMAAC_09230,CELEIN_20995,FNPKGJ_21700,OFJEOJ_09175,OGPOLJ_21570,16_refound_69176
group_14833,,cytochrome oxidase biogenesis protein Surf1facilitates heme A insertion,17,17,1.0,1,16652,,,,741,765,745.2352941176471,AEKEPN_00275,HMDFDK_15205,DGIGOC_17575,OELDID_13955,NDFCFG_00290,NFOGGK_01500,DILMCD_03260,CJMOAC_00365,GGGPIC_01210,KLDNLM_00665,KAGCPN_01425,NDMAAC_01420,CELEIN_00370,FNPKGJ_00320,OFJEOJ_29905,OGPOLJ_00315,MOKLEP_10265
rlmL~~~rlmKL,rlmL;rlmKL,Ribosomal RNA large subunit methyltransferase K/L;bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,17,17,1.0,1,16646,,,,2178,2271,2265.529411764706,AEKEPN_09465,HMDFDK_24280,DGIGOC_08650,OELDID_22880,NDFCFG_08890,NFOGGK_10425,DILMCD_27140,CJMOAC_27215,GGGPIC_20600,KLDNLM_11005,KAGCPN_10205,NDMAAC_10200,CELEIN_09515,FNPKGJ_23190,OFJEOJ_20685,OGPOLJ_22965,MOKLEP_03195
