locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00005,527.4937160694752,0.12754944887689693,0.4090382162206533,0.3118277066025809,0.7551714663636404,0.8069523345011966,no,no,CP020102.1,CDS,cds-AQZ88914.1,AQZ88914.1,dnaA,chromosomal replication initiator protein DnaA,up,224308.BSU00010,0,877,"COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,1ZBKI@1386|Bacillus",91061|Bacilli,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",-,ko:K02313,"ko02020,ko04112,map02020,map04112",-,-,-,"ko00000,ko00001,ko03032,ko03036",-,-,-,"Bac_DnaA,Bac_DnaA_C,DnaA_N"
B4U62_00010,507.75260493075024,0.8003894616227683,0.14719328409511495,5.437676498239987,5.397986825189043e-8,1.8859004285487503e-7,yes,no,CP020102.1,CDS,cds-AQZ88915.1,AQZ88915.1,dnaN,DNA polymerase III subunit beta,up,224308.BSU00020,1.7099999999999998e-263,723,"COG0592@1|root,COG0592@2|Bacteria,1TQ7J@1239|Firmicutes,4H9TF@91061|Bacilli,1ZAVV@1386|Bacillus",91061|Bacilli,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,-,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_beta,DNA_pol3_beta_3"
B4U62_00015,71.43182052924996,2.1329180138293404,0.402745568292899,5.295944094108973,1.1840306165375747e-7,3.977197324182148e-7,yes,yes,CP020102.1,CDS,cds-AQZ88916.1,AQZ88916.1,yaaA,hypothetical protein,up,224308.BSU00030,2.24e-45,146,"COG2501@1|root,COG2501@2|Bacteria,1VEJ2@1239|Firmicutes,4HNMC@91061|Bacilli,1ZIXZ@1386|Bacillus",91061|Bacilli,S,S4 domain,yaaA,-,-,ko:K14761,-,-,-,-,"ko00000,ko03009",-,-,-,S4_2
B4U62_00020,5068.342000040582,0.27122369123367096,0.1399961150383892,1.937365841611369,0.05270063903881819,0.07957921844665582,no,no,CP020102.1,CDS,cds-AQZ88917.1,AQZ88917.1,recF,DNA replication and repair protein RecF,up,224308.BSU00040,1.3e-263,722,"COG1195@1|root,COG1195@2|Bacteria,1TP9U@1239|Firmicutes,4HA0W@91061|Bacilli,1ZC8V@1386|Bacillus",91061|Bacilli,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,"GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009987,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:1901360,GO:1901362,GO:1901576",-,ko:K03629,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,SMC_N
B4U62_00025,123.02295523180142,0.14052954103733897,0.2696769798156132,0.521103214421281,0.6022948718309739,0.6664836679324819,no,no,CP020102.1,CDS,cds-AQZ88918.1,AQZ88918.1,yaaB,DUF370 domain-containing protein,up,224308.BSU00050,2.52e-51,162,"2E36Q@1|root,32Y6E@2|Bacteria,1VEZV@1239|Firmicutes,4HQTK@91061|Bacilli,1ZIZ5@1386|Bacillus",91061|Bacilli,S,Domain of unknown function (DUF370),yaaB,-,-,-,-,-,-,-,-,-,-,-,DUF370
B4U62_00030,3271.6820764934823,-0.22705953102437376,0.2617559887155935,-0.8674473204549349,0.38569696381809593,0.45634646091789627,no,no,CP020102.1,CDS,cds-AQZ88919.1,AQZ88919.1,gyrB,DNA gyrase subunit B,down,224308.BSU00060,0,1258,"COG0187@1|root,COG0187@2|Bacteria,1TQ0R@1239|Firmicutes,4H9Y6@91061|Bacilli,1ZBFI@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrB,"GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360",5.99.1.3,ko:K02470,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
B4U62_00035,3530.25770909844,0.03701657520197436,0.18824421498444618,0.19664123651838586,0.8441082985118092,0.8758387295322158,no,no,CP020102.1,CDS,cds-AQZ88920.1,AQZ88920.1,gyrA,DNA gyrase subunit A,up,224308.BSU00070,0,1439,"COG0188@1|root,COG0188@2|Bacteria,1TP2Z@1239|Firmicutes,4HAHY@91061|Bacilli,1ZB8F@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrA,-,5.99.1.3,ko:K02469,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseA_C,DNA_topoisoIV"
B4U62_00040,4473.482719653484,-1.7699653182382349,0.47117495953195754,-3.7564927473998893,1.7231126273171537e-4,4.000790238138679e-4,yes,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00045,1.0212011036820967,-0.3903024682840652,1.9596565996321071,-0.19916880761524133,0.8421306985013983,0.8745073879999508,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00050,30.027512038586487,1.6593069198189538,0.5361907167774935,3.094620753211449,0.0019706469842345324,0.0039079099323691465,yes,no,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
