locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_label,lfc_label,seqnames,type,ID,Name,gene,product,change,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,gene_emap,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
B4U62_00005,527.4937160694752,0.5256852060160144,0.40873659268779833,1.28612220050859,0.19840041730828867,0.3347492197843546,no,no,CP020102.1,CDS,cds-AQZ88914.1,AQZ88914.1,dnaA,chromosomal replication initiator protein DnaA,up,224308.BSU00010,0,877,"COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,1ZBKI@1386|Bacillus",91061|Bacilli,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",-,ko:K02313,"ko02020,ko04112,map02020,map04112",-,-,-,"ko00000,ko00001,ko03032,ko03036",-,-,-,"Bac_DnaA,Bac_DnaA_C,DnaA_N"
B4U62_00010,507.75260493075024,0.15038874570739008,0.1472974210839024,1.0209869568709342,0.3072606183297716,0.46096594591657775,no,no,CP020102.1,CDS,cds-AQZ88915.1,AQZ88915.1,dnaN,DNA polymerase III subunit beta,up,224308.BSU00020,1.7099999999999998e-263,723,"COG0592@1|root,COG0592@2|Bacteria,1TQ7J@1239|Firmicutes,4H9TF@91061|Bacilli,1ZAVV@1386|Bacillus",91061|Bacilli,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,-,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_beta,DNA_pol3_beta_3"
B4U62_00015,71.43182052924996,-0.6532721561630302,0.40599319376603643,-1.6090716942892753,0.10760066577113998,0.20981893755460557,no,no,CP020102.1,CDS,cds-AQZ88916.1,AQZ88916.1,yaaA,hypothetical protein,down,224308.BSU00030,2.24e-45,146,"COG2501@1|root,COG2501@2|Bacteria,1VEJ2@1239|Firmicutes,4HNMC@91061|Bacilli,1ZIXZ@1386|Bacillus",91061|Bacilli,S,S4 domain,yaaA,-,-,ko:K14761,-,-,-,-,"ko00000,ko03009",-,-,-,S4_2
B4U62_00020,5068.342000040582,-0.21086163712413863,0.13970293062913008,-1.509357292467356,0.1312075008176369,0.2453033797364655,no,no,CP020102.1,CDS,cds-AQZ88917.1,AQZ88917.1,recF,DNA replication and repair protein RecF,down,224308.BSU00040,1.3e-263,722,"COG1195@1|root,COG1195@2|Bacteria,1TP9U@1239|Firmicutes,4HA0W@91061|Bacilli,1ZC8V@1386|Bacillus",91061|Bacilli,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,"GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009987,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:1901360,GO:1901362,GO:1901576",-,ko:K03629,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,SMC_N
B4U62_00025,123.02295523180142,0.05979553765563885,0.26421355237640753,0.2263151799664391,0.8209562927470633,0.8949947027331676,no,no,CP020102.1,CDS,cds-AQZ88918.1,AQZ88918.1,yaaB,DUF370 domain-containing protein,up,224308.BSU00050,2.52e-51,162,"2E36Q@1|root,32Y6E@2|Bacteria,1VEZV@1239|Firmicutes,4HQTK@91061|Bacilli,1ZIZ5@1386|Bacillus",91061|Bacilli,S,Domain of unknown function (DUF370),yaaB,-,-,-,-,-,-,-,-,-,-,-,DUF370
B4U62_00030,3271.6820764934823,-0.01575407755635159,0.2614303850226997,-0.06026108080353277,0.9519476986054881,0.9731896877393119,no,no,CP020102.1,CDS,cds-AQZ88919.1,AQZ88919.1,gyrB,DNA gyrase subunit B,down,224308.BSU00060,0,1258,"COG0187@1|root,COG0187@2|Bacteria,1TQ0R@1239|Firmicutes,4H9Y6@91061|Bacilli,1ZBFI@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrB,"GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360",5.99.1.3,ko:K02470,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
B4U62_00035,3530.25770909844,-0.2118871888518547,0.18785968787489166,-1.1279013142668723,0.2593615987779029,0.40927043734753976,no,no,CP020102.1,CDS,cds-AQZ88920.1,AQZ88920.1,gyrA,DNA gyrase subunit A,down,224308.BSU00070,0,1439,"COG0188@1|root,COG0188@2|Bacteria,1TP2Z@1239|Firmicutes,4HAHY@91061|Bacilli,1ZB8F@1386|Bacillus",91061|Bacilli,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrA,-,5.99.1.3,ko:K02469,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseA_C,DNA_topoisoIV"
B4U62_00040,4473.482719653484,0.9047262043982077,0.47088466663536077,1.921332904855025,0.05468975133490731,0.12362220495031949,no,no,NA,NA,NA,NA,NA,NA,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00045,1.0212011036820967,-1.0204483794731054,1.6846619079795244,-0.6057288852081697,0.5446947997058862,0.684759176773114,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4U62_00050,30.027512038586487,-0.3721812867409027,0.5433684058044189,-0.6849520192288587,0.4933741987163413,0.6418486355665751,no,no,NA,NA,NA,NA,NA,NA,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
