#	down
AQZ88929.1	K06306
AQZ88936.1	K06317
AQZ88956.1	K06436
AQZ88958.1	K06423
AQZ88969.1	K04769
AQZ88977.1	K06382
AQZ88978.1	K07114
AQZ89066.1	K01448
AQZ89080.1	K01207
AQZ89081.1	K21469
AQZ89082.1	K02808
AQZ89082.1	K02809
AQZ89082.1	K02810
AQZ89084.1	K07106
AQZ89106.1	K07052
AQZ89107.1	K01990
AQZ89120.1	K17838
AQZ89144.1	K11102
AQZ89157.1	K01707
AQZ89158.1	K22187
AQZ89170.1	K01449
AQZ89183.1	K11640
AQZ89212.1	K01176
AQZ89218.1	K09190
AQZ89219.1	K03293
AQZ89220.1	K09967
AQZ89227.1	K07074
AQZ89229.2	K11928
AQZ89274.1	K03305
AQZ89277.1	K06295
AQZ89277.1	K06307
AQZ89299.1	K05340
AQZ89300.1	K00034
AQZ89308.1	K07246
AQZ89341.1	K03322
AQZ89351.1	K03309
AQZ89351.1	K11102
AQZ89351.1	K11103
AQZ89371.1	K17762
AQZ89389.1	K03466
AQZ89454.1	K15977
AQZ89460.1	K13993
AQZ89479.1	K01077
AQZ89488.1	K01223
AQZ89488.1	K05350
AQZ89526.1	K02100
AQZ89526.1	K06609
AQZ89526.1	K08139
AQZ89534.1	K06324
AQZ89593.1	K06332
AQZ89594.1	K06333
AQZ89595.1	K06334
AQZ89599.1	K07718
AQZ89600.1	K07720
AQZ89601.1	K02027
AQZ89609.1	K18197
AQZ89609.1	K18198
AQZ89610.1	K18197
AQZ89610.1	K18198
AQZ89612.1	K01190
AQZ89628.1	K00978
AQZ89629.2	K01709
AQZ89629.2	K01710
AQZ89672.1	K02802
AQZ89672.1	K02803
AQZ89672.1	K02804
AQZ89672.1	K20116
AQZ89672.1	K20117
AQZ89672.1	K20118
AQZ89676.1	K03310
AQZ89677.1	K06309
AQZ89679.1	K06297
AQZ89679.1	K06308
AQZ89680.1	K06295
AQZ89680.1	K06307
AQZ89681.1	K02818
AQZ89681.1	K02819
AQZ89682.1	K01226
AQZ89685.1	K01081
AQZ89685.1	K01119
AQZ89685.1	K06931
AQZ89685.1	K08693
AQZ89685.1	K11751
AQZ89707.1	K21416
AQZ89708.1	K21417
AQZ89709.1	K00627
AQZ89710.1	K21405
AQZ89711.1	K06425
AQZ89719.1	K02749
AQZ89719.1	K02750
AQZ89723.1	K07104
AQZ89753.1	K06428
AQZ89764.1	K06422
AQZ89781.1	K03781
AQZ89794.1	K07180
